# Sensor Calle Hernando de Zafra, Centro, Spain (Citizen Science project sensor.community/47617)
# https://aqicn.org/station/@128242/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-06-28T00:00:00.000Z,2.4,14.13,3.3,2.92,3.88,1.543,141
2020-06-29T00:00:00.000Z,1.4,17.2,2.45,2.1,2.83,1.431,479
2020-06-30T00:00:00.000Z,2,27.13,6.06,3.28,7.17,2.673,468
2020-07-01T00:00:00.000Z,0,317.23,6.05,4.03,7.22,41.204,455
2020-07-02T00:00:00.000Z,0.3,30.17,1.65,1,2.8,2.817,454
2020-07-03T00:00:00.000Z,0.4,20.3,5.7,1.33,7.03,3.228,469
2020-07-04T00:00:00.000Z,2.1,394.33,6.82,5.28,7.94,18.473,496
2020-07-05T00:00:00.000Z,0.7,5.45,1.73,1.3,2.94,0.956,473
2020-07-06T00:00:00.000Z,0.52,11.52,1.2,1,1.48,1.206,277
2020-07-07T00:00:00.000Z,0.7,17.89,1.5,1.25,1.79,1.344,441
2020-07-08T00:00:00.000Z,0.77,84,1.6,1.2,2.17,5.929,439
2020-07-09T00:00:00.000Z,0.93,23.1,2.27,1.65,3.7,1.727,471
2020-07-10T00:00:00.000Z,1.5,28.42,3.37,2.85,3.8,2.449,439
2020-07-11T00:00:00.000Z,2.02,142.69,5.15,2.94,6.4,8.774,313
2020-07-12T00:00:00.000Z,4.97,12.82,8.51,7.36,9.81,1.733,380
2020-07-13T00:00:00.000Z,2.1,10.73,4.03,3.17,8.13,2.547,235
2020-07-14T00:00:00.000Z,1.87,8.98,3.17,2.67,3.83,0.979,249
2020-07-15T00:00:00.000Z,1.92,7.1,4.15,2.92,4.97,1.157,199
2020-07-16T00:00:00.000Z,1.6,11.55,2.92,2.54,3.59,0.977,193
2020-07-17T00:00:00.000Z,1.87,12.9,3.04,2.67,3.9,1.358,266
2020-07-18T00:00:00.000Z,1.7,8.75,3.58,2.8,4.57,1.63,250
2020-07-19T00:00:00.000Z,2,8.94,5.04,3.62,6.75,1.816,98
2020-07-20T00:00:00.000Z,2.42,26.3,4.34,3.9,4.78,2.238,110
2020-07-21T00:00:00.000Z,2.2,21.52,5.18,4,6,2.366,168
2020-07-22T00:00:00.000Z,4.3,12.82,7.61,6.18,9.73,2.096,122
2020-07-23T00:00:00.000Z,4.59,15.35,8.73,6.48,10.97,2.694,137
2020-07-24T00:00:00.000Z,5.22,19.75,8.5,7.22,11.7,3.601,226
2020-07-25T00:00:00.000Z,1.98,13.95,9.4,2.7,12.54,4.365,49
2020-07-26T00:00:00.000Z,1.45,10.88,3.8,2.4,5.7,2.429,245
2020-07-27T00:00:00.000Z,4,10.77,5.82,5.09,6.82,1.367,156
2020-07-28T00:00:00.000Z,3.28,16.92,6.45,5.19,9.23,3.159,233
2020-07-29T00:00:00.000Z,4.9,12.85,8.23,6.85,10.18,2.045,186
2020-07-30T00:00:00.000Z,4.53,14.4,7.55,6.68,8.73,1.811,231
2020-07-31T00:00:00.000Z,3.9,15.95,8.07,6.85,9.74,1.936,237
2020-08-01T00:00:00.000Z,3.58,12.73,8.19,7.06,9.43,1.818,184
2020-08-02T00:00:00.000Z,0.62,13.98,2.97,2.1,4.57,2.963,232
2020-08-03T00:00:00.000Z,1.8,21.6,3.4,2.65,5.45,3.201,228
2020-08-04T00:00:00.000Z,4.22,18.35,9.75,6.89,12.11,3.293,252
2020-08-05T00:00:00.000Z,2.02,12.43,4.87,3.34,9.5,3.208,257
2020-08-06T00:00:00.000Z,1.75,6.1,2.87,2.5,3.25,0.766,127
2020-08-07T00:00:00.000Z,1.98,5.18,3.14,2.72,3.8,0.684,166
2020-08-08T00:00:00.000Z,0.7,97.88,1.48,1.2,1.83,8.269,238
2020-08-09T00:00:00.000Z,0.7,21.05,1.55,1.32,1.94,1.332,264
2020-08-10T00:00:00.000Z,1.45,7.22,2.89,2.19,3.85,1.032,276
2020-08-11T00:00:00.000Z,2.75,10.88,5.45,4.5,6.48,1.588,272
2020-08-12T00:00:00.000Z,2.95,11.5,5.9,4.4,7.35,1.719,267
2020-08-13T00:00:00.000Z,2.65,9.82,4.9,4.37,5.7,1.343,266
2020-08-14T00:00:00.000Z,3.7,104.35,6.32,5.45,7.2,7.312,235
2020-08-15T00:00:00.000Z,0.8,21.65,3.65,2.31,4.88,2.114,264
2020-08-16T00:00:00.000Z,0.6,3.7,1.52,1.1,2.02,0.626,271
2020-08-17T00:00:00.000Z,0.88,5.43,1.98,1.6,2.54,0.807,273
2020-08-18T00:00:00.000Z,1.35,5.32,2.7,2.2,3.2,0.781,272
2020-08-19T00:00:00.000Z,0.98,21.15,1.92,1.52,2.62,2.788,270
2020-08-20T00:00:00.000Z,1.12,6.3,2.17,1.77,2.62,0.771,274
2020-08-21T00:00:00.000Z,0.68,9.82,2.2,1.52,3.38,2.362,269
2020-08-22T00:00:00.000Z,1.2,14.07,2.65,1.99,4.67,2.653,260
2020-08-23T00:00:00.000Z,2,17.42,5.95,4.28,8.14,3.947,265
2020-08-24T00:00:00.000Z,2.8,8.8,5.09,4.34,6.32,1.26,246
2020-08-25T00:00:00.000Z,2.45,14.68,4.07,3.55,4.53,1.367,248
2020-08-26T00:00:00.000Z,1.2,15.73,4.84,2.92,7.7,3.307,253
2020-08-27T00:00:00.000Z,2.8,14.15,6.24,4.3,8.09,2.659,264
2020-08-28T00:00:00.000Z,0.68,21.8,4.07,1.79,6.93,3.555,252
2020-08-29T00:00:00.000Z,0.7,14.2,1.97,1.5,2.69,1.275,256
2020-08-30T00:00:00.000Z,0.77,5.18,2,1.7,2.42,0.611,257
2020-08-31T00:00:00.000Z,0.6,6.15,1.35,1.13,1.6,0.602,252
2020-09-01T00:00:00.000Z,0.6,3.58,1.52,1.2,1.87,0.523,219
2020-09-02T00:00:00.000Z,0.5,4.53,1.3,1.08,1.67,0.612,263
2020-09-03T00:00:00.000Z,0.6,4.75,1.4,1.08,1.95,0.74,258
