date,min,max,pm25,q1,q3,stdev,count
2020-11-10T00:00:00.000Z,4.09,5.9,5.03,4.65,5.59,0.519,29
2020-11-12T00:00:00.000Z,11.65,33.43,20.04,15.47,24.03,5.071,158
2020-11-13T00:00:00.000Z,11.9,32,20.3,17.67,25.02,4.371,219
2020-11-14T00:00:00.000Z,10,97.78,21.99,19.39,23.98,6.83,338
2020-11-15T00:00:00.000Z,9.97,36.53,19.23,16.87,22.37,4.7,292
2020-11-16T00:00:00.000Z,4.43,47.17,21.17,12.4,27.92,10.463,283
2020-11-17T00:00:00.000Z,1.4,58.43,5.89,2.8,10.57,6.622,310
2020-11-18T00:00:00.000Z,2.8,27.67,5.92,4.3,12.97,5.301,210
2020-11-19T00:00:00.000Z,0.2,36.07,5.43,3.73,14.48,8.048,370
2020-11-20T00:00:00.000Z,0.2,25.67,0.8,0.4,1.6,2.317,362
2020-11-21T00:00:00.000Z,0.5,37.75,4.42,1.5,8.5,4.72,310
2020-11-22T00:00:00.000Z,2.6,29.5,7.7,4.65,11.92,5.562,305
2020-11-23T00:00:00.000Z,3.23,23.4,10.55,5.6,15.75,5.598,276
2020-11-24T00:00:00.000Z,4.37,31.1,9.94,7.19,14.09,4.508,289
2020-11-25T00:00:00.000Z,3.47,30.23,9.23,5.85,12.6,4.999,297
2020-11-26T00:00:00.000Z,3.9,27.8,8.93,5.97,13.25,4.618,288
2020-11-27T00:00:00.000Z,4.67,31.4,12.17,7.1,16.91,5.803,265
2020-11-28T00:00:00.000Z,6.35,32.47,12.7,8.19,18.95,6.284,282
2020-11-29T00:00:00.000Z,5.82,27.8,11.13,8.91,14.3,4.117,281
2020-11-30T00:00:00.000Z,4.33,33.5,9.05,7.3,16.77,5.419,254
2020-12-01T00:00:00.000Z,15.6,45.3,21.98,19.63,29.63,6.802,221
2020-12-02T00:00:00.000Z,8.93,33.03,20.52,17.64,24.07,4.643,223
2020-12-03T00:00:00.000Z,10.6,44.92,22.99,15.5,29.91,8.43,236
2020-12-04T00:00:00.000Z,3.27,59.1,14.6,10.9,18.32,7.307,266
2020-12-05T00:00:00.000Z,0.7,32.9,6.1,3.83,10.57,5.937,255
2020-12-06T00:00:00.000Z,1.05,33.79,6.35,3.29,16.34,8.128,341
2020-12-07T00:00:00.000Z,1.3,22.4,4.44,2.6,8.47,4.002,294
2020-12-08T00:00:00.000Z,3.45,65.03,21.83,6.75,31.4,13.389,283
2020-12-09T00:00:00.000Z,5.8,48.67,15.62,13.37,19.38,6.173,256
2020-12-10T00:00:00.000Z,4,70.59,19.27,12.2,27.13,11.13,263
2020-12-11T00:00:00.000Z,7.05,49.28,15.43,11.59,18.14,5.612,300
2020-12-12T00:00:00.000Z,10.4,95.97,15.07,13.5,18.95,7.14,311
2020-12-13T00:00:00.000Z,4.63,47.9,10.15,7.05,15.34,6.403,296
2020-12-14T00:00:00.000Z,1.85,67.5,11.27,5.5,16.17,8.505,287
2020-12-15T00:00:00.000Z,4,47.22,15.68,8.1,24.67,10.583,279
2021-01-01T00:00:00.000Z,20.2,36.07,26.22,23.8,30.18,3.995,44
2021-01-02T00:00:00.000Z,11.83,60.2,26.27,21.03,33.72,10.134,262
2021-01-03T00:00:00.000Z,3.6,48.83,19,14.4,23.48,7.01,250
2021-01-04T00:00:00.000Z,4.07,49.27,18.69,9.68,24.67,8.616,240
