date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,3.68,27.58,17,9.91,21.19,6.446,304
2019-12-10T00:00:00.000Z,2.5,34.82,12.92,5.04,23.59,9.84,397
2019-12-11T00:00:00.000Z,4.82,53.52,29.46,18.12,33.97,10.053,418
2019-12-12T00:00:00.000Z,19.38,51.1,28.29,22.72,32.6,7.211,476
2019-12-13T00:00:00.000Z,13.28,61.43,18.63,16.43,22.28,11.133,558
2019-12-14T00:00:00.000Z,9.77,26.46,18.3,15.72,19.82,3.671,395
2019-12-15T00:00:00.000Z,2.25,14.23,6.91,4.9,9.57,2.766,570
2019-12-16T00:00:00.000Z,4.34,13.85,6.78,5.72,9.59,2.403,285
2019-12-17T00:00:00.000Z,23.7,45.05,29.45,26.23,34.5,5.616,285
2019-12-18T00:00:00.000Z,5.88,53.2,19.66,10.6,29.57,10.675,461
2019-12-19T00:00:00.000Z,10.34,81.94,52.02,19.1,65.05,21.863,552
2019-12-20T00:00:00.000Z,8.82,92.32,13.46,11.45,25.43,21.603,573
2019-12-21T00:00:00.000Z,9.69,37.47,17.39,15.54,21.29,5.664,324
2019-12-22T00:00:00.000Z,12.9,85.3,53.46,24.48,66.09,21.387,286
2019-12-23T00:00:00.000Z,14.35,81.15,25.45,19.18,45.47,17.51,562
2019-12-24T00:00:00.000Z,11.45,48.25,20.28,16.11,25.71,8.231,585
2019-12-25T00:00:00.000Z,13.55,53.76,28.27,20.96,42.34,11.126,534
2019-12-26T00:00:00.000Z,5,37.92,17.73,10.03,22.08,8.016,518
2019-12-27T00:00:00.000Z,3,24.06,8.5,4.78,12.1,5.055,508
2019-12-28T00:00:00.000Z,1.34,5.26,3.46,2.8,3.82,0.797,518
2019-12-29T00:00:00.000Z,2.72,36.75,3.98,3.42,21.67,10.306,525
2019-12-30T00:00:00.000Z,8.84,22.8,16.62,14.05,17.77,2.955,512
2019-12-31T00:00:00.000Z,2.42,32.04,5.05,4.15,8.47,3.235,500
2020-01-01T00:00:00.000Z,6.15,32.22,17.86,15.88,22.47,4.787,508
2020-01-02T00:00:00.000Z,14.48,38.97,22.98,17.62,26.72,5.658,502
2020-01-03T00:00:00.000Z,15.02,41.11,25.68,21.23,30.45,6.73,496
2020-01-04T00:00:00.000Z,2.08,45.23,6.08,3.6,9,12.192,498
2020-01-05T00:00:00.000Z,1.27,36.64,2.8,2.13,14.7,10.894,448
2020-01-06T00:00:00.000Z,14.38,44.87,30.3,20.56,38.56,8.985,475
2020-01-07T00:00:00.000Z,9,53.62,27.75,18.44,35.32,10.811,471
2020-01-08T00:00:00.000Z,14.05,61.24,36.65,22.08,49.69,14.815,456
2020-01-09T00:00:00.000Z,29.13,83.58,59.65,38.2,68.05,15.734,339
