# Sensor Holmsjö, Sweden (Citizen Science project sensor.community/12135)
# https://aqicn.org/station/@59899/
# Daily pm25
date,min,max,pm25,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.2,3.32,2.24,1.97,2.5,0.53,313
2019-12-10T00:00:00.000Z,0.21,5.84,0.87,0.55,1.5,0.687,410
2019-12-11T00:00:00.000Z,0.32,3.28,0.99,0.72,2.15,0.854,428
2019-12-12T00:00:00.000Z,0.45,24.3,4.96,2.7,14.95,7.427,505
2019-12-13T00:00:00.000Z,1,26.37,7.83,4.15,11.1,5.919,567
2019-12-14T00:00:00.000Z,0.85,21.84,13.85,6.01,16.48,6.343,394
2019-12-15T00:00:00.000Z,0.42,5.46,1.69,0.86,2.25,0.821,576
2019-12-16T00:00:00.000Z,0.64,4.95,2.24,0.94,2.95,1.09,266
2019-12-17T00:00:00.000Z,4.8,25.65,13.08,8.44,19.68,5.644,288
2019-12-18T00:00:00.000Z,0.05,5.46,1.37,0.67,3.29,1.394,468
2019-12-19T00:00:00.000Z,1.26,14.25,4.99,2.25,8.36,3.837,562
2019-12-20T00:00:00.000Z,11.74,43.16,28.13,22.27,36,8.846,589
2019-12-21T00:00:00.000Z,5.6,24.72,13.04,10.02,15.47,3.559,573
2019-12-22T00:00:00.000Z,3.32,19.17,10.02,8.52,11.76,3.618,587
2019-12-23T00:00:00.000Z,1.05,8.52,1.98,1.55,4.36,1.622,585
2019-12-24T00:00:00.000Z,1.5,6.5,3.86,2.92,4.59,1.116,587
2019-12-25T00:00:00.000Z,0.72,9.26,4.5,3.12,5.01,1.891,590
2019-12-26T00:00:00.000Z,0.1,1.94,0.92,0.55,1.18,0.436,590
2019-12-27T00:00:00.000Z,0.45,1.75,0.8,0.67,1.12,0.333,494
2020-01-02T00:00:00.000Z,2.18,63.97,17.87,10.23,19.12,8.577,553
2020-01-03T00:00:00.000Z,0.95,12.75,3.45,2.96,7.78,3.304,555
2020-01-04T00:00:00.000Z,0.25,3.32,1.24,0.65,1.52,0.722,547
2020-01-24T00:00:00.000Z,0.46,2.18,0.69,0.52,1,0.44,17
2020-01-25T00:00:00.000Z,0.72,4.13,1.21,1.05,1.45,0.569,264
2020-01-26T00:00:00.000Z,0.35,31.75,7.7,3.04,11.1,5.509,311
2020-01-27T00:00:00.000Z,5.4,62.94,11.68,8.14,17.98,6.786,258
2020-01-28T00:00:00.000Z,0.84,23.15,7.35,4.09,18.7,7.125,273
2020-01-29T00:00:00.000Z,0.5,8.11,3.39,1.22,5.75,2.435,310
2020-01-30T00:00:00.000Z,0.4,4.62,1.65,1.15,2.37,0.781,294
2020-01-31T00:00:00.000Z,0.35,13.45,1.42,1.13,2.69,2.005,288
2020-02-01T00:00:00.000Z,0.3,6.47,2.24,1.47,2.76,1.275,328
2020-02-02T00:00:00.000Z,0.35,2.73,1.35,1.02,1.74,0.509,337
2020-02-03T00:00:00.000Z,0.4,5.18,1,0.82,1.27,0.523,315
2020-02-04T00:00:00.000Z,0.1,1.75,0.8,0.54,1,0.33,261
2020-02-05T00:00:00.000Z,0.2,1.97,0.68,0.5,1.45,0.489,238
2020-02-06T00:00:00.000Z,0.78,2.37,1.42,1.23,1.56,0.243,237
2020-02-07T00:00:00.000Z,0.45,3.12,0.9,0.78,1.05,0.465,213
2020-02-08T00:00:00.000Z,0.6,14.97,8.69,3.64,11.91,4.625,192
2020-02-09T00:00:00.000Z,2.06,24.15,11.73,7.78,17.85,6.293,353
2020-02-10T00:00:00.000Z,0.25,2.87,1.55,1.15,1.9,0.522,371
2020-02-11T00:00:00.000Z,0.15,2.88,1.2,0.75,1.66,0.596,372
2020-02-12T00:00:00.000Z,0.46,3.65,1.42,1.06,2.49,0.815,386
2020-02-13T00:00:00.000Z,0.73,6.68,1.55,1.23,1.8,0.673,374
2020-02-14T00:00:00.000Z,0.7,12.74,1.52,1.29,2.06,1.53,381
2020-02-15T00:00:00.000Z,3.74,18.66,12.26,9.5,15.71,3.826,321
2020-02-16T00:00:00.000Z,0.14,6,2.23,1.82,2.85,1.071,383
2020-02-17T00:00:00.000Z,0.2,3.94,2.45,1.55,3.07,1.024,343
2020-02-18T00:00:00.000Z,0.85,3.32,2.12,1.76,2.5,0.535,307
