# Sensor G 651, Tingsryds kommun, Sweden (Citizen Science project sensor.community/11763)
# https://aqicn.org/station/@59650/
# Daily pm25
date,min,max,pm25,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.12,18.14,2,1.82,2.22,1.524,321
2019-12-10T00:00:00.000Z,0.1,4.18,1.12,0.65,1.48,0.641,406
2019-12-11T00:00:00.000Z,0.4,3.44,1.4,1.2,1.95,0.692,431
2019-12-12T00:00:00.000Z,0.14,23.06,3.69,1.4,5.78,3.695,488
2019-12-13T00:00:00.000Z,1.3,19.62,7.67,4.9,10.9,4.721,563
2019-12-14T00:00:00.000Z,0.99,17.22,12.24,4.12,16,5.925,400
2019-12-15T00:00:00.000Z,0.35,7.84,1.31,0.74,1.71,0.999,576
2019-12-16T00:00:00.000Z,0.64,3.85,2,0.87,2.5,0.87,290
2019-12-17T00:00:00.000Z,2.2,18.8,11.13,8.1,15.7,4.508,290
2019-12-18T00:00:00.000Z,0.25,7.1,1.39,0.75,3.43,2.004,465
2019-12-19T00:00:00.000Z,1.74,17,5.53,2.84,8.6,3.865,551
2019-12-20T00:00:00.000Z,16.02,40.28,24.65,21.97,27.7,4.1,592
2019-12-21T00:00:00.000Z,5.63,17.92,7.84,7.01,11.09,3.21,576
2019-12-22T00:00:00.000Z,4.09,10.98,8.18,7.3,9.19,1.545,590
2019-12-23T00:00:00.000Z,1.42,9.05,2.22,1.85,3.92,1.739,590
2019-12-24T00:00:00.000Z,1.42,4.15,2.77,2.22,3.28,0.667,591
2019-12-25T00:00:00.000Z,0.9,5.09,3.46,2.12,4.05,1.241,589
2019-12-26T00:00:00.000Z,0.34,2.24,1.1,0.9,1.32,0.43,590
2019-12-27T00:00:00.000Z,0.6,3.24,1.1,0.94,2.04,0.625,590
2019-12-28T00:00:00.000Z,1.73,4.95,2.44,2.18,2.89,0.674,589
2019-12-29T00:00:00.000Z,4.55,10.75,6.92,5.42,8.94,1.862,590
2019-12-30T00:00:00.000Z,1.4,13.78,7.46,5.42,9.14,2.452,586
2019-12-31T00:00:00.000Z,0.16,2.92,0.86,0.4,1.82,0.762,573
2020-01-01T00:00:00.000Z,1.25,32.1,2.04,1.75,2.42,3.322,587
2020-01-02T00:00:00.000Z,1.92,19.55,15.93,10.26,16.92,4.822,570
2020-01-03T00:00:00.000Z,1.68,18.55,4.63,2.52,8.75,3.388,554
2020-01-04T00:00:00.000Z,0.4,6.68,1.18,0.68,1.72,0.861,559
2020-01-05T00:00:00.000Z,0.35,4.59,0.85,0.6,1.65,0.912,568
2020-01-06T00:00:00.000Z,0.95,4.47,1.75,1.49,2.1,0.645,504
2020-01-07T00:00:00.000Z,2.52,14.7,8.44,5.05,11.28,3.425,527
2020-01-08T00:00:00.000Z,1.82,9.85,3.27,2.54,5.67,2.402,504
2020-01-09T00:00:00.000Z,0.65,8.5,2.27,1.4,2.62,1.171,525
2020-01-10T00:00:00.000Z,0.16,16,2.31,0.88,6.47,3.579,434
2020-01-11T00:00:00.000Z,0.6,13.16,2.44,0.89,4.18,3.852,528
2020-01-12T00:00:00.000Z,0.45,12.82,0.95,0.7,4.26,3.436,571
2020-01-13T00:00:00.000Z,0.95,9.11,1.5,1.35,1.85,1.544,487
2020-01-14T00:00:00.000Z,1.48,17.76,7.4,2.7,10.36,4.075,437
2020-01-15T00:00:00.000Z,0.4,6.55,4.09,3.24,5.09,1.374,459
2020-01-16T00:00:00.000Z,0.36,5.64,2.09,1.65,2.52,1.058,475
2020-01-17T00:00:00.000Z,4.3,26.5,19.86,17.05,23.53,6.756,463
2020-01-18T00:00:00.000Z,0.97,31.7,1.86,1.45,15.94,10.325,505
2020-01-19T00:00:00.000Z,0.8,2.6,1.45,1.25,1.7,0.335,471
2020-01-20T00:00:00.000Z,1.18,19.68,2.9,2.65,3.26,2.969,368
2020-01-21T00:00:00.000Z,1.14,3.45,1.87,1.62,2.5,0.558,462
2020-01-22T00:00:00.000Z,2.02,2.44,2.2,2.15,2.29,0.114,14
2020-01-23T00:00:00.000Z,0.4,1.44,1.03,0.65,1.14,0.289,87
2020-01-24T00:00:00.000Z,0.45,1.5,1,0.85,1.07,0.188,269
2020-01-25T00:00:00.000Z,0.8,4.68,1.14,1.01,1.56,0.55,301
2020-01-26T00:00:00.000Z,0.55,18.07,7.63,1.56,9.76,4.336,306
2020-01-27T00:00:00.000Z,5.05,15.68,8.44,7.75,10,1.962,259
2020-01-28T00:00:00.000Z,1.36,16.23,6.48,3.47,12.85,4.946,273
2020-01-29T00:00:00.000Z,0.74,7.14,3.28,1.25,5.88,2.223,312
2020-01-30T00:00:00.000Z,0.32,2.14,1.08,0.85,1.37,0.376,297
2020-01-31T00:00:00.000Z,0.57,3.94,1.4,1.04,1.62,0.537,287
2020-02-01T00:00:00.000Z,0.25,12.95,2.2,1.35,2.65,1.542,329
2020-02-02T00:00:00.000Z,0.55,22.74,1.25,1.05,1.6,2.475,330
2020-02-03T00:00:00.000Z,0.34,1.94,0.93,0.75,1.14,0.296,312
2020-02-04T00:00:00.000Z,0.4,3.98,0.84,0.7,1,0.475,261
2020-02-05T00:00:00.000Z,0.33,2.29,0.79,0.64,1.48,0.504,224
2020-02-06T00:00:00.000Z,0.56,1.9,1.4,1.25,1.55,0.239,239
2020-02-07T00:00:00.000Z,0.95,3.37,2.12,1.57,2.54,0.577,215
2020-02-08T00:00:00.000Z,1.38,14.93,11.38,3.05,12.82,4.977,197
2020-02-09T00:00:00.000Z,2.57,23.24,13.23,8.85,16.14,5.411,364
2020-02-10T00:00:00.000Z,0.3,3.02,1.68,1.35,1.9,0.434,366
2020-02-11T00:00:00.000Z,0.45,5.95,1.07,0.85,1.6,0.723,368
2020-02-12T00:00:00.000Z,0.6,3.35,1.35,1.1,2.17,0.637,385
2020-02-13T00:00:00.000Z,0.4,40.17,1.46,1.19,1.78,4.462,384
2020-02-14T00:00:00.000Z,1,9.17,2.11,1.58,2.7,1.508,387
2020-02-15T00:00:00.000Z,6.78,17.47,10.45,8.48,12.2,2.792,332
2020-02-16T00:00:00.000Z,0.24,8.18,2.13,0.9,3.01,1.648,374
2020-02-17T00:00:00.000Z,0.15,8.25,2.13,1.6,2.92,1.177,346
2020-02-18T00:00:00.000Z,1.05,5.82,2.02,1.7,2.38,0.831,306
2020-02-19T00:00:00.000Z,0.62,5.15,1.56,1.17,1.8,0.777,460
2020-02-20T00:00:00.000Z,1.04,13.15,2.74,1.65,3.4,3.07,495
2020-02-21T00:00:00.000Z,0.73,12.65,2.04,1.65,2.48,2.008,421
2020-02-22T00:00:00.000Z,0.4,5.65,1.7,1.21,2.31,0.841,419
2020-02-23T00:00:00.000Z,1.47,3.95,2.46,1.96,3.15,0.655,438
2020-02-24T00:00:00.000Z,0.8,2.04,1.12,1,1.34,0.224,498
2020-02-25T00:00:00.000Z,0.28,2.44,1.09,0.74,1.52,0.498,454
2020-02-26T00:00:00.000Z,0.06,2.42,0.7,0.6,0.82,0.376,392
2020-02-27T00:00:00.000Z,0.59,1.5,0.9,0.8,1,0.18,558
2020-02-28T00:00:00.000Z,0.7,8.72,1.18,0.97,1.45,0.88,557
2020-02-29T00:00:00.000Z,1.46,16.7,4.45,2.25,6.96,3.559,567
2020-03-01T00:00:00.000Z,0.84,7.83,1.67,1.28,2.25,1.159,570
2020-03-02T00:00:00.000Z,0.5,6.6,1.54,1.14,2.36,1.414,473
2020-03-03T00:00:00.000Z,1.04,14.98,3.83,2.7,6.13,3.379,427
2020-03-04T00:00:00.000Z,0.56,2.85,1.46,1.21,1.86,0.515,587
2020-03-05T00:00:00.000Z,0.65,6.24,2.58,1,4.25,1.722,589
2020-03-06T00:00:00.000Z,5.46,23.33,12.95,11.36,18.64,4.431,590
2020-03-07T00:00:00.000Z,2.58,11.53,5.84,3.58,9.16,2.909,592
2020-03-08T00:00:00.000Z,3.36,14.32,10.35,7.6,11.99,3.041,592
2020-03-09T00:00:00.000Z,3.06,19.35,9.27,6.86,11.89,3.921,583
2020-03-10T00:00:00.000Z,0.9,13.63,4.84,2.86,8.39,3.233,565
2020-03-11T00:00:00.000Z,1.45,3.59,2.38,2.06,2.76,0.467,429
2020-03-12T00:00:00.000Z,0.42,13.42,1.58,1.27,1.97,2.109,485
2020-03-13T00:00:00.000Z,0.1,3.01,1.61,0.72,2.35,0.82,512
2020-03-14T00:00:00.000Z,0.3,1.6,0.57,0.5,0.7,0.164,535
2020-03-15T00:00:00.000Z,2.44,5.9,4.75,4.28,5.16,0.715,291
2020-03-16T00:00:00.000Z,0.88,5.7,1.75,1.4,2.5,0.672,585
2020-03-17T00:00:00.000Z,1.1,4.66,2.48,2,2.83,0.74,585
2020-03-18T00:00:00.000Z,0.65,9.44,3.45,1.2,5.55,2.703,507
2020-03-19T00:00:00.000Z,0.9,7.7,1.46,1.28,1.66,0.97,558
2020-03-20T00:00:00.000Z,0.5,2.08,1.03,0.86,1.4,0.328,479
2020-03-21T00:00:00.000Z,0.5,1.72,0.9,0.74,1.05,0.224,487
2020-03-22T00:00:00.000Z,0.62,1.77,0.9,0.8,1,0.19,460
2020-03-23T00:00:00.000Z,0.8,2.18,1.14,0.98,1.44,0.283,452
2020-03-24T00:00:00.000Z,1,5.44,2.62,1.53,3.92,1.18,444
2020-03-25T00:00:00.000Z,4.13,8.68,6.87,5.67,7.49,1.159,445
2020-03-26T00:00:00.000Z,4.72,14.55,7.1,5.57,8.09,1.901,429
2020-03-27T00:00:00.000Z,4.71,10.03,6.96,5.92,8.63,1.496,376
2020-03-28T00:00:00.000Z,0.56,11.98,4.72,2.22,5.84,2.711,176
2020-03-29T00:00:00.000Z,0.35,1.97,0.75,0.65,0.9,0.251,331
2020-03-30T00:00:00.000Z,0.55,1.58,0.84,0.72,1.04,0.22,139
2020-03-31T00:00:00.000Z,0.47,9,0.87,0.74,1.35,1.069,315
2020-04-01T00:00:00.000Z,0.7,2.67,1.7,1.3,2.18,0.455,185
2020-04-02T00:00:00.000Z,0.87,6,2.29,1.95,2.68,0.79,419
2020-04-03T00:00:00.000Z,0.75,4.76,1.46,1.06,2.24,0.736,454
2020-04-04T00:00:00.000Z,0.6,4.71,1.14,0.85,1.45,0.543,511
2020-04-05T00:00:00.000Z,1.15,9.15,2.85,1.76,4.65,1.88,530
2020-04-06T00:00:00.000Z,1.4,7.6,5.18,3.95,6.02,1.525,520
2020-04-07T00:00:00.000Z,1.1,11.66,1.85,1.57,5.68,2.766,451
2020-04-08T00:00:00.000Z,1.2,2.65,1.8,1.6,2,0.287,460
2020-04-09T00:00:00.000Z,0.6,4.59,1.15,0.85,2.34,1.02,461
2020-04-10T00:00:00.000Z,0.5,2.16,0.95,0.78,1.41,0.395,512
2020-04-11T00:00:00.000Z,0.93,3.2,2.72,1.35,2.9,0.747,159
2020-04-12T00:00:00.000Z,1.52,8.32,4.28,2.18,5,1.755,591
2020-04-13T00:00:00.000Z,0.35,2.25,0.9,0.65,1.14,0.417,588
2020-04-14T00:00:00.000Z,0.53,8.6,0.98,0.82,1.34,0.777,573
2020-04-15T00:00:00.000Z,1.62,3.46,2.6,2.27,2.84,0.389,528
2020-04-16T00:00:00.000Z,0.55,2.42,1.1,0.88,1.82,0.517,526
2020-04-17T00:00:00.000Z,0.25,1.6,0.66,0.57,0.85,0.233,584
2020-04-18T00:00:00.000Z,0.4,2.95,0.84,0.68,0.99,0.279,587
2020-04-19T00:00:00.000Z,0.46,7.54,0.77,0.67,0.95,0.723,573
2020-04-20T00:00:00.000Z,0.4,1.94,0.76,0.66,0.94,0.28,520
2020-04-21T00:00:00.000Z,0.37,2.96,0.9,0.64,1.97,0.754,382
2020-04-22T00:00:00.000Z,0.6,4.46,0.85,0.75,1,0.254,423
2020-04-23T00:00:00.000Z,0.7,8.48,1.03,0.95,1.12,0.776,482
2020-04-24T00:00:00.000Z,0.57,3.28,1.13,0.97,1.44,0.526,544
2020-04-25T00:00:00.000Z,0.45,3.66,0.8,0.65,1,0.395,517
