# Sensor Växjö, Sweden (Citizen Science project sensor.community/17662)
# https://aqicn.org/station/@63646/
# Daily pm25
date,min,max,pm25,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.52,3.7,2.44,1.7,2.8,0.763,314
2019-12-10T00:00:00.000Z,0.59,2.88,1.38,0.93,1.75,0.543,414
2019-12-11T00:00:00.000Z,0.64,4.07,1.02,0.92,2.54,0.911,425
2019-12-12T00:00:00.000Z,0.55,13.23,3.26,1.27,5.95,3.367,497
2019-12-13T00:00:00.000Z,0.84,16.73,5.65,2.58,6.87,3.628,562
2019-12-14T00:00:00.000Z,1.1,15.82,11.33,1.83,13.7,5.394,404
2019-12-15T00:00:00.000Z,0.52,4.23,1.49,0.87,2.7,1.069,576
2019-12-16T00:00:00.000Z,0.7,3.8,2.62,1.48,3.02,0.832,286
2019-12-17T00:00:00.000Z,0.76,15.52,7.8,5.42,11.33,4.27,290
2019-12-18T00:00:00.000Z,0.5,7.72,1.77,1.05,2.34,1.985,467
2019-12-19T00:00:00.000Z,1.74,12.7,3.84,2.94,5.25,2.264,557
2019-12-20T00:00:00.000Z,10.43,23.58,17.03,12.72,18.7,3.147,585
2019-12-21T00:00:00.000Z,4.51,16.94,7.89,6.56,11.07,2.833,568
2019-12-22T00:00:00.000Z,1.23,9.05,3.86,2.04,5.54,2.053,581
2019-12-23T00:00:00.000Z,0.98,4.8,1.96,1.42,2.75,1.028,578
2019-12-24T00:00:00.000Z,1.2,5.42,1.94,1.7,2.44,0.604,586
2019-12-25T00:00:00.000Z,0.97,6.48,3.3,1.73,4.54,1.562,583
2019-12-26T00:00:00.000Z,0.6,4.01,1.05,0.88,1.35,0.405,588
2019-12-27T00:00:00.000Z,0.79,4.22,1.25,1,1.82,0.476,582
2019-12-28T00:00:00.000Z,1.5,4.82,2.22,1.9,3.36,0.864,588
2019-12-29T00:00:00.000Z,3.91,12.9,9.97,4.65,11.49,3.337,589
2019-12-30T00:00:00.000Z,1.25,9.74,6,4.25,7.17,2.009,583
