# Sensor Klackens Östergränd, Halmstad, Sweden (Citizen Science project sensor.community/82996)
# https://aqicn.org/station/@415030/
# Daily pm25
date,min,max,pm25,q1,q3,stdev,count
2023-09-18T00:00:00.000Z,1.85,15.88,6.72,2.97,10.35,3.866,571
2023-09-19T00:00:00.000Z,0.73,14.85,2.22,1.6,2.83,2.961,551
2023-09-20T00:00:00.000Z,1.33,5.57,2.78,2.33,3.1,0.561,544
2023-09-21T00:00:00.000Z,1.23,8.23,2.29,1.8,2.97,0.732,575
2023-09-22T00:00:00.000Z,0.2,14.65,2.67,1.3,4.3,2.781,576
2023-09-23T00:00:00.000Z,0.3,14.5,1.67,0.9,6.6,3.833,587
2023-09-24T00:00:00.000Z,0.55,3.85,1.5,1.08,1.98,0.609,571
2023-09-25T00:00:00.000Z,0.9,9.02,2.08,1.6,2.9,1.945,586
2023-09-26T00:00:00.000Z,2.04,14.15,5.95,3.03,8.14,2.761,560
2023-09-27T00:00:00.000Z,4.53,23.88,9.35,7.96,16.2,4.568,569
2023-09-28T00:00:00.000Z,0.75,19.73,10.64,3,12.64,5.107,580
2023-09-29T00:00:00.000Z,0.8,11.68,3.57,3.08,4.47,1.631,586
2023-09-30T00:00:00.000Z,0.63,5.13,1.75,1.35,2.75,0.829,575
2023-10-01T00:00:00.000Z,0.5,79.75,1.38,1.08,2.6,5.411,482
2023-10-02T00:00:00.000Z,0.85,12.18,3.72,1.9,8.11,3.25,549
2023-10-03T00:00:00.000Z,0.13,25.67,3.19,1.74,5.5,5.688,568
2023-10-04T00:00:00.000Z,1,7.53,2.38,1.92,3.15,1.247,572
2023-10-05T00:00:00.000Z,0.3,6.28,1.23,0.9,1.63,0.896,572
2023-10-06T00:00:00.000Z,0.65,5.18,2.5,1.5,3.39,1.047,565
2023-10-07T00:00:00.000Z,0,10.57,0.5,0.2,1.27,1.721,563
2023-10-08T00:00:00.000Z,0.03,7.68,0.55,0.38,0.8,0.893,573
2023-10-09T00:00:00.000Z,0.35,7.63,1,0.75,2.12,1.004,552
2023-10-10T00:00:00.000Z,0.15,27.95,2.52,0.9,6.6,7.172,539
2023-10-11T00:00:00.000Z,0.68,33.85,5.72,1.83,12.07,9.715,559
2023-10-12T00:00:00.000Z,1,4.13,2.1,1.88,2.4,0.439,556
2023-10-13T00:00:00.000Z,0.5,9.57,2.63,1.98,3.57,1.71,557
2023-10-14T00:00:00.000Z,0.7,4.2,1.9,1.58,2.25,0.515,563
2023-10-15T00:00:00.000Z,0.2,4.13,0.82,0.6,1.77,0.836,571
2023-10-16T00:00:00.000Z,0.08,7.8,0.43,0.3,1,1.22,553
2023-10-17T00:00:00.000Z,0.4,3.65,0.98,0.8,1.23,0.423,564
2023-10-18T00:00:00.000Z,0,2.95,0.4,0.2,0.93,0.618,550
2023-10-19T00:00:00.000Z,0.1,1.65,0.6,0.43,0.85,0.271,556
2023-10-20T00:00:00.000Z,0.1,1.3,0.55,0.4,0.7,0.213,584
2023-10-21T00:00:00.000Z,0,1.9,0.15,0.1,0.25,0.247,583
2023-10-22T00:00:00.000Z,0,6.75,2.17,1.21,2.99,1.407,577
