date, pm25, pm10, no2, co
2025/11/2, 50, 4, 13, 
2025/11/3, 11, 12, 5, 
2025/11/4, 30, 14, 20, 
2025/11/5, 42, 15, 15, 
2025/11/6, 50, 12, 9, 
2025/11/7, 42, 16, 8, 
2025/11/8, 52, , 12, 
2025/10/2, 38, 15, 9, 
2025/10/3, 40, 14, 13, 
2025/10/4, 41, 4, 3, 
2025/10/5, 12, 5, 5, 
2025/10/6, 14, 5, 5, 
2025/10/7, 13, 10, 8, 
2025/10/8, 30, 8, 6, 
2025/10/9, 29, 8, 5, 
2025/10/10, 22, 9, 4, 
2025/10/11, 31, 8, 4, 
2025/10/12, 26, 10, 6, 
2025/10/13, 33, 14, 11, 
2025/10/14, 37, 9, 7, 
2025/10/15, 32, 11, 11, 
2025/10/16, 32, 13, 12, 
2025/10/17, 35, 7, 6, 
2025/10/18, 22, 8, 13, 
2025/10/19, 25, 15, 10, 
2025/10/20, 35, 25, 14, 
2025/10/21, 54, 19, 13, 
2025/10/22, 53, 14, 9, 
2025/10/23, 35, 3, 4, 
2025/10/24, 7, 5, 10, 
2025/10/25, 13, 4, 5, 
2025/10/26, 13, 5, 7, 
2025/10/27, 11, 6, 8, 
2025/10/28, 16, 10, 13, 
2025/10/29, 23, 12, 14, 
2025/10/30, 34, 7, 15, 
2025/10/31, 23, , 17, 
2025/7/1, 20, 18, 12, 
2025/7/2, 26, 15, 8, 
2025/7/3, 26, 14, 3, 
2025/7/4, 37, 13, 6, 
2025/7/5, 32, 13, 8, 
2025/7/6, 33, 7, 4, 
2025/7/7, 23, 5, 3, 
2025/7/8, 14, 12, 2, 
2025/7/9, 24, 9, 3, 
2025/7/10, 25, 7, 3, 
2025/7/11, 20, 6, 7, 
2025/7/12, 18, 8, 8, 
2025/7/13, 25, 9, 5, 
2025/7/14, 24, 8, 3, 
2025/7/15, 21, 11, 3, 
2025/7/16, 30, 6, 2, 
2025/7/17, 16, 6, 4, 
2025/7/18, 19, 8, 7, 
2025/7/19, 22, 9, 7, 
2025/7/20, 25, 12, 5, 
2025/7/21, 30, 5, 2, 
2025/7/22, 11, 9, 7, 
2025/7/23, 16, 13, 6, 
2025/7/24, 23, 10, 5, 
2025/7/25, 26, 10, 3, 
2025/7/26, 37, 10, 1, 
2025/7/27, 33, 8, 2, 
2025/7/28, 22, 9, 1, 
2025/7/29, 24, 7, 2, 
2025/7/30, 18, 8, 2, 
2025/7/31, 19, 7, 5, 
2025/8/1, 16, 6, 6, 
2025/8/2, 15, 5, 1, 
2025/8/3, 15, 8, 1, 
2025/8/4, 21, 8, 6, 
2025/8/5, 21, 9, 4, 
2025/8/6, 17, 12, 9, 
2025/8/7, 24, 14, 11, 
2025/8/8, 29, 16, 12, 
2025/8/9, 33, 17, 7, 
2025/8/10, 39, 15, 4, 
2025/8/11, 28, 20, 7, 
2025/8/12, 30, 23, 11, 
2025/8/13, 39, 26, 17, 
2025/8/14, 41, 18, 9, 
2025/8/15, 35, 20, 5, 
2025/8/16, 43, 13, 2, 
2025/8/17, 35, 12, 3, 
2025/8/18, 17, 15, 7, 
2025/8/19, 21, 18, 11, 
2025/8/20, 26, 17, 10, 
2025/8/21, 41, 11, 2, 
