date, pm25, pm10, o3, no2, so2, co
2024/3/1, 111, 34, 4, 6, , 2
2024/3/2, 56, 26, 4, 5, , 1
2024/3/3, 29, 28, 4, 6, , 1
2024/3/4, 33, 52, 4, 7, , 2
2024/3/5, 80, 48, 3, 7, , 2
2024/3/6, 70, 52, 3, 7, , 2
2024/3/7, 80, 54, 4, 7, , 2
2024/3/8, 71, 57, 3, 8, , 2
2024/3/9, 85, 40, 3, 7, , 2
2024/3/10, 61, 42, 4, 8, , 2
2024/3/11, 72, 49, 3, 7, , 2
2024/3/12, 78, 227, 3, 7, , 2
2024/3/13, 61, 683, 4, 6, , 2
2024/3/14, 44, , , , , 
2024/3/16, 63, 62, , 6, , 
2024/3/17, 67, 52, 3, 7, , 2
2024/3/18, 66, 50, 3, 7, , 2
2024/3/19, 77, 50, 3, 8, , 2
2024/3/20, 82, 59, 4, 9, 5, 2
2024/3/21, 91, 95, 4, 8, , 2
2024/3/22, 109, 43, 4, 8, , 2
2024/3/23, 76, 46, 4, 6, , 2
2024/3/24, 55, 40, 4, 7, , 2
2024/3/25, 62, , , , , 
2024/2/1, 93, 45, 4, 6, 2, 2
2024/2/2, 72, 59, 4, 8, 2, 2
2024/2/3, 90, 76, 4, 9, 3, 2
2024/2/4, 132, 66, 4, 8, 5, 2
2024/2/5, 119, 70, 4, 7, 4, 2
2024/2/6, 113, 70, 4, 6, 4, 2
2024/2/7, 105, 68, 4, 7, 5, 2
2024/2/8, 92, 67, 4, 7, 3, 2
2024/2/9, 107, 84, 5, 7, 3, 2
2024/2/10, 98, 67, 4, 7, 3, 2
2024/2/11, 93, 75, 4, 8, 3, 2
2024/2/12, 114, 73, 4, 9, 4, 2
2024/2/13, 109, 75, 3, 7, 4, 2
2024/2/14, 104, 86, 4, 8, 4, 2
2024/2/15, 130, 103, 4, 10, 5, 2
2024/2/16, 154, 116, 4, 11, 5, 3
2024/2/17, 154, 59, 4, 7, 7, 2
2024/2/18, 94, 61, 4, 7, 6, 2
2024/2/19, 90, 43, 4, 5, 5, 1
2024/2/20, 38, 29, 4, 5, 5, 1
2024/2/21, 25, 50, 4, 5, 5, 1
2024/2/22, 45, 62, 4, 6, 4, 1
2024/2/23, 50, 67, 4, 7, 4, 2
2024/2/24, 61, 70, 4, 7, 2, 2
2024/2/25, 77, 95, 4, 10, 3, 3
2024/2/26, 116, 75, 4, 9, , 3
2024/2/27, 124, 62, 3, 7, , 2
2024/2/28, 108, 76, 3, 10, , 3
2024/2/29, 134, 64, 4, 8, , 2
2024/1/1, 154, 74, 3, 8, 4, 2
2024/1/2, 153, 76, 4, 9, 3, 2
2024/1/3, 147, 81, 4, 10, 6, 2
2024/1/4, 162, 74, 3, 9, 6, 2
2024/1/5, 159, 69, 4, 8, 7, 2
2024/1/6, 150, 73, 4, 8, 7, 2
2024/1/7, 151, 66, 4, 7, 7, 2
2024/1/8, 122, 79, 4, 8, 7, 2
2024/1/9, 133, 49, 4, 6, 7, 1
2024/1/10, 79, 75, 4, 7, 7, 2
2024/1/11, 141, 71, 4, 7, 7, 2
2024/1/12, 132, 71, 4, 8, 7, 2
2024/1/13, 140, , , , , 
2024/1/15, 49, 68, 6, 6, 2, 1
2024/1/16, 84, 50, 5, 6, 2, 1
2024/1/17, 101, 48, 5, 6, 3, 1
2024/1/18, 202, 201, 4, 8, 2, 2
2024/1/20, 133, 75, 5, 7, 2, 2
2024/1/21, 108, 67, 5, 8, 2, 2
2024/1/22, 110, 60, 5, 6, 2, 1
2024/1/23, 87, 61, 5, 6, 2, 2
2024/1/24, 86, 63, 5, 7, 2, 2
2024/1/25, 90, 72, 5, 9, 2, 2
2024/1/26, 120, 78, 4, 10, 2, 3
2024/1/27, 130, 73, 5, 9, 2, 2
2024/1/28, 114, 65, 5, 8, 2, 2
2024/1/29, 113, 65, 4, 8, 2, 2
2024/1/30, 108, 57, 4, 6, 2, 2
2024/1/31, 102, 53, 4, 6, 2, 1
2023/10/4, 79, 70, 4, , 6, 3
2023/10/5, 96, 69, 4, , 3, 3
2023/10/6, 100, 60, 4, , 3, 3
2023/10/7, 99, 67, 4, , 3, 3
2023/10/8, 104, 65, 4, , 3, 3
2023/10/9, 138, 74, 4, , 4, 4
