date, pm25, pm10, o3, no2, so2, co
2025/11/1, 29, 7, , 2, , 
2025/11/2, 30, 3, , 2, , 
2025/11/3, 15, 6, , 6, , 
2025/11/4, 29, 9, , 11, , 
2025/11/5, 39, 17, , 12, , 
2025/11/6, 58, 13, , 9, , 
2025/11/7, 46, 11, , 7, , 
2025/11/8, 43, 9, , 7, , 
2025/11/9, 37, 7, , 7, , 
2025/11/10, 26, 5, , 7, , 
2025/11/11, 19, , , , , 
2025/10/1, 21, 7, , 3, , 
2025/10/2, 30, 5, , 2, , 
2025/10/3, 18, 12, , 1, , 
2025/10/7, 27, 8, , 1, , 
2025/10/8, 29, 8, , 2, , 
2025/10/9, 29, 6, , 2, , 
2025/10/10, 26, 4, , 2, , 
2025/10/11, 24, 1, , 4, , 
2025/10/12, 20, 16, , 7, , 
2025/10/13, 46, 10, , 8, , 
2025/10/14, 46, 12, , 10, , 
2025/10/15, 50, 9, , 6, , 
2025/10/16, 31, 11, , 9, , 
2025/10/21, 11, 8, , 5, , 
2025/10/22, 21, 7, , 8, , 
2025/10/23, 16, 7, , 5, , 
2025/10/24, 12, 7, , 2, , 
2025/10/25, 7, 5, , 2, , 
2025/10/26, 10, 7, , 5, , 
2025/10/27, 12, 10, , 2, , 
2025/10/28, 24, 6, , 6, , 
2025/10/29, 12, 7, , 6, , 
2025/10/30, 35, 9, , 4, , 
2025/10/31, 38, 7, , 2, , 
2025/7/1, 23, 6, , 4, , 
2025/7/2, 18, 7, , , , 
2025/7/3, 13, 7, , , , 
2025/7/4, 21, 4, , , , 
2025/7/8, 33, 4, , 2, , 
2025/7/9, 11, 6, , 3, , 
2025/7/10, 14, 8, , 5, , 
2025/7/11, 20, 10, , 3, , 
2025/7/12, 26, 6, , 3, , 
2025/7/13, 18, 9, , 4, , 
2025/7/14, 27, 8, , 4, , 
2025/7/15, 17, 14, , 5, , 
2025/7/16, 29, 12, , 6, , 
2025/7/17, 28, 5, , 3, , 
2025/7/18, 18, 7, , 5, , 
2025/7/19, 23, 13, , 5, , 
2025/7/20, 41, 11, , 6, , 
