date, pm25, pm10, o3, no2, so2, co
2025/11/1, 14, 6, 26, 1, , 
2025/11/2, 15, 1, 27, , , 
2025/11/3, 3, 5, 24, 4, , 
2025/11/4, 12, 5, 15, 7, , 
2025/11/5, 15, 14, 8, 9, , 
2025/11/6, 42, 11, 14, 6, , 
2025/11/7, 33, 10, 19, 5, , 
2025/11/8, 34, 7, 22, 5, , 
2025/11/9, 21, 5, 26, 4, , 
2025/11/10, 14, 3, 31, 4, , 
2025/11/11, 8, , , , , 
2025/10/1, 3, 5, 27, 1, , 
2025/10/2, 13, 4, 27, 1, , 
2025/10/3, 8, 10, 24, 2, , 
2025/10/4, 23, 15, 24, 2, , 
2025/10/5, 34, 4, 20, , , 
2025/10/6, 9, 6, 22, 2, , 
2025/10/7, 14, 8, 23, 1, , 
2025/10/8, 17, 7, 23, 2, , 
2025/10/9, 15, 4, 26, 3, , 
2025/10/10, 10, 3, 22, 1, , 
2025/10/11, 7, 4, 13, 4, , 
2025/10/12, 14, 12, 9, 7, , 
2025/10/13, 41, 10, 9, 7, , 
2025/10/14, 36, 13, 20, 8, , 
2025/10/15, 42, 10, 18, 7, , 
2025/10/16, 35, 9, 12, 10, , 
2025/10/17, 26, 11, 17, 4, , 
2025/10/18, 34, 12, 15, 3, , 
2025/10/19, 41, 8, 6, 11, , 
2025/10/20, 22, 5, 22, 8, , 
2025/10/21, 13, 6, 25, 4, , 
2025/10/22, 12, 7, 16, 12, , 
2025/10/23, 17, 6, 22, 12, , 
2025/10/24, 14, 3, 26, 4, , 
2025/10/25, 8, 4, 25, 7, , 
2025/10/26, 11, 5, 23, 5, 1, 
2025/10/27, 11, 10, 27, 4, 1, 
2025/10/28, 23, 5, 27, 7, , 
2025/10/29, 13, 6, 20, 10, 9, 
2025/10/30, 14, 8, 26, 2, , 
2025/10/31, 19, 6, 27, 2, , 
2025/7/1, 8, 4, 20, 4, , 
2025/7/2, 11, 4, 18, 1, , 
2025/7/3, 9, 5, 17, , 1, 
2025/7/4, 11, 2, 14, 1, 1, 
2025/7/5, 5, 4, 17, 1, 1, 
2025/7/6, 10, 9, 24, 3, 1, 
2025/7/7, 18, 19, 27, 2, 1, 
2025/7/8, 31, 4, 16, 2, , 
2025/7/9, 7, 6, 10, 3, , 
2025/7/10, 15, 8, 21, 4, , 
2025/7/11, 16, 8, 20, 4, , 
2025/7/12, 20, 5, 19, 1, , 
2025/7/13, 14, 9, 21, 1, , 
2025/7/14, 24, 7, 12, 2, , 
2025/7/15, 15, 10, 23, 3, , 
2025/7/16, 24, 10, 21, 5, , 
2025/7/17, 23, 4, 19, , , 
2025/7/18, 11, 6, 17, 3, , 
2025/7/19, 17, 13, 24, 3, , 
2025/7/20, 38, 7, 25, 3, , 
2025/7/21, 17, 8, 15, 3, , 
2025/7/22, 21, 17, 18, 3, , 
2025/7/23, 51, 21, 18, 4, , 
2025/7/24, 62, 11, 15, 2, , 
2025/7/25, 37, 8, 15, 1, , 
2025/7/26, 21, 8, 15, 1, , 
2025/7/27, 22, 5, 17, 3, , 
2025/7/28, 13, 6, 20, 5, , 
2025/7/29, 14, 7, 21, 4, , 
2025/7/30, 17, 4, 19, 3, , 
2025/7/31, 9, 5, 18, 3, , 
2025/8/1, 9, 6, 27, 3, , 
2025/8/2, 17, 6, 27, 1, , 
2025/8/3, 17, 9, 25, 1, , 
