date, pm25, pm10, o3, no2, co
2024/11/1, 80, 29, 11, 11, 
2024/11/2, 65, 15, 14, 8, 
2024/11/3, 50, 23, 9, 10, 
2024/11/4, 42, 28, 8, 16, 
2024/11/5, 68, 32, 10, 15, 
2024/11/6, 72, 31, 11, 11, 
2024/11/7, 61, 37, 8, 15, 
2024/11/8, 82, 40, 11, 11, 
2024/11/9, 89, 40, 11, 12, 
2024/11/10, 80, 24, 21, 13, 
2024/11/11, 65, 30, 3, 14, 
2024/11/12, 70, 30, 3, 14,
2024/10/1, 38, 10, 15, 7, 
2024/10/2, 46, 3, 25, 8, 
2024/10/3, 13, 3, 25, 3, 
2024/10/4, 13, 7, 17, 7, 
2024/10/5, 17, 12, 19, 7, 
2024/10/6, 38, 23, 17, 8, 
2024/10/7, 65, 9, 19, 10, 
2024/10/8, 30, 10, 17, 9, 
2024/10/9, 25, 10, 23, 6, 
2024/10/10, 17, 10, 27, 8, 
2024/10/11, 25, 14, 23, 10, 
2024/10/12, 42, 23, 24, 10, 
2024/10/13, 63, 29, 19, 8, 
2024/10/14, 72, 45, 15, 12, 
2024/10/15, 104, 34, 13, 12, 
2024/10/16, 80, 13, 13, 9, 
2024/10/17, 17, 16, 15, 7, 
2024/10/18, 34, 13, 17, 7, 
2024/10/19, 38, 24, 21, 6, 
2024/10/20, 63, 27, 23, 9, 
2024/10/21, 61, 29, 19, 8, 
2024/10/22, 72, 21, 17, 7, 
2024/10/23, 65, 12, 17, 8, 
2024/10/24, 42, 16, 14, 9, 
2024/10/25, 59, 15, 16, 7, 
2024/10/26, 46, 21, 19, 6, 
2024/10/27, 57, 27, 15, 8, 
2024/10/28, 63, 30, 10, 13, 
2024/10/29, 65, 31, 11, 14, 
2024/10/30, 68, 30, 10, 15, 
2024/10/31, 68, 36, 17, 14, 
2024/7/1, 38, 7, 42, 5, 
2024/7/2, 25, 8, 31, 4, 
2024/7/3, 25, 9, 41, 8, 
2024/7/4, 30, 13, 48, 6, 
2024/7/5, 38, 15, 45, 6, 
2024/7/6, 42, 17, 34, 8, 
2024/7/7, 50, 21, 43, 8, 
2024/7/8, 61, 27, 53, 10, 
2024/7/9, 65, 36, 67, 13, 
2024/7/10, 63, 31, 65, 11, 
2024/7/11, 63, 26, 53, 12, 
2024/7/12, 38, 23, 43, 10, 
2024/7/13, 57, 15, 48, 7, 
2024/7/14, 38, 21, 70, 9, 
2024/7/15, 53, 24, 56, 11, 
2024/7/16, 57, 23, 63, 10, 
2024/7/17, 53, 28, 57, 11, 
2024/7/18, 53, 27, 57, 8, 
2024/7/19, 46, 12, 57, 8, 
2024/7/20, 38, 9, 55, 6, 
2024/7/21, 34, 20, 49, 9, 
2024/7/22, 53, 18, 57, 7, 
2024/7/23, 53, 16, 55, 8, 
2024/7/24, 50, 16, 42, 9, 
2024/7/25, 38, 13, 52, 6, 
2024/7/26, 34, 14, 55, 6, 
2024/7/27, 42, 22, 70, 6, 
2024/7/28, 59, 14, 52, 4, 
2024/7/29, 42, 18, 55, 8, 
2024/7/30, 50, 19, 70, 6, 
2024/7/31, 53, 24, 80, 10, 
2024/8/1, 57, 15, 64, 3, 
2024/8/2, 38, 12, 50, 7, 
2024/8/3, 38, 14, 53, 11, 
2024/8/4, 42, 14, 57, 8, 
2024/8/5, 46, 16, 60, 7, 
2024/8/6, 46, 20, 60, 8, 
2024/8/7, 46, 15, 53, 13, 
2024/8/8, 46, 17, 74, 11, 
2024/8/9, 53, 17, 74, 8, 
2024/8/10, 53, 17, 74, 8, 
2024/8/11, 34, 23, 69, 10, 
2024/8/12, 57, 22, 61, 11, 
2024/8/13, 53, 20, 61, 7, 
2024/8/14, 50, 17, 42, 9, 
2024/8/15, 46, 23, 48, 9, 
2024/8/16, 55, 21, 44, 8, 
2024/8/17, 50, 14, 41, 7, 
2024/8/18, 17, 12, 26, 8, 
2024/8/19, 25, 12, 43, 9, 
2024/8/20, 42, , 57, 9, 
2024/8/21, 55, , 48, 5, 
2024/8/22, 55, 13, 53, 6, 
2024/8/23, 55, 20, 54, 5, 
2024/8/24, 55, 21, 60, 6, 
2024/8/25, 57, 26, 50, 6, 
2024/8/28, 55, , 70, 11, 
2024/8/29, 80, 32, 75, 9, 
2024/8/30, 70, 31, 68, 8, 
2024/8/31, 68, 31, 58, 11, 
2024/9/1, 63, 35, 57, 8, 
2024/9/2, 53, 26, 61, 7, 
2024/9/3, 61, 22, 45, 10, 
2024/9/4, 55, 14, 37, 11, 
2024/9/5, 38, 10, 42, 6, 
2024/9/6, 25, 12, 47, 8, 
2024/9/7, 34, 18, 26, 7, 
2024/9/8, 46, 10, 38, 7, 
2024/9/9, 25, 10, 41, 7, 
2024/9/10, 25, 18, 43, 5, 
2024/9/11, 46, 10, 27, 5, 
2024/9/12, 13, 11, 24, 7, 
