date,min,max,pm25,q1,q3,stdev,count
2019-12-14T00:00:00.000Z,3.07,8.98,4.38,3.76,4.72,1.048,184
2019-12-15T00:00:00.000Z,7.39,28.42,11.64,9.64,12.92,3.81,408
2019-12-16T00:00:00.000Z,11.24,15.83,12.7,12.27,13.6,0.908,269
2019-12-17T00:00:00.000Z,8.9,27.04,10.48,9.64,11.94,5.369,214
2019-12-18T00:00:00.000Z,13.48,35.47,22.17,15.81,27.79,6.342,439
2019-12-19T00:00:00.000Z,15.65,35.45,22.21,17.76,29.82,5.508,454
2019-12-20T00:00:00.000Z,16.23,41.83,24.21,21.45,29.65,6.45,220
2019-12-21T00:00:00.000Z,9.6,18.23,14.03,12.58,16.66,2.379,323
2019-12-22T00:00:00.000Z,17.67,30.67,26.75,25.88,27.73,1.59,257
2019-12-23T00:00:00.000Z,13.6,29.12,16.14,15.17,17.66,3.862,286
2019-12-24T00:00:00.000Z,16.75,22.35,18.94,17.76,21.35,1.812,17
2019-12-25T00:00:00.000Z,12.66,29.99,14.97,13.82,25.27,5.854,294
2019-12-26T00:00:00.000Z,13.76,28.82,16.07,15.26,17.73,2.663,244
2019-12-27T00:00:00.000Z,9.11,26.62,15.22,11.71,21.19,4.884,368
2019-12-28T00:00:00.000Z,10.54,17.37,13.28,12.49,14.24,1.401,203
2019-12-29T00:00:00.000Z,9.48,19.23,10.86,10.35,11.61,2.355,108
2019-12-30T00:00:00.000Z,7.76,19.43,8.93,8.6,9.33,2.363,140
2019-12-31T00:00:00.000Z,9.65,487.24,20.48,12.19,27.23,60.448,361
2020-01-01T00:00:00.000Z,20.99,289.56,31.2,26.68,35.45,39.309,346
2020-01-02T00:00:00.000Z,22.74,47.47,35.14,30.9,39.15,5.349,492
2020-01-03T00:00:00.000Z,15.35,34.02,23.78,18.3,25.74,4.107,549
2020-01-04T00:00:00.000Z,13.01,19.16,16.95,15.22,17.71,1.461,505
2020-01-05T00:00:00.000Z,11,46.64,29.15,14.24,36.65,11.584,279
2020-01-06T00:00:00.000Z,23.71,41.73,31.73,27.26,34.03,3.988,441
2020-01-07T00:00:00.000Z,14.22,48.11,28.88,25.06,34.65,7.917,439
2020-01-08T00:00:00.000Z,16.8,33.67,20.9,19.25,25.58,4.202,498
2020-01-09T00:00:00.000Z,16.1,39.67,26.67,21.83,30.6,5.774,511
2020-01-10T00:00:00.000Z,11.45,32.29,13.83,13.01,16.67,5.41,405
2020-01-11T00:00:00.000Z,12.75,24.86,16.55,15.7,18.1,2.359,527
2020-01-12T00:00:00.000Z,14.2,30.81,19.61,17.12,21.44,3.805,561
2020-01-13T00:00:00.000Z,14.44,34.97,20.56,17.6,22.38,4.357,486
2020-01-14T00:00:00.000Z,15.15,23.29,17.84,16.64,19.04,1.804,440
2020-01-15T00:00:00.000Z,8.14,17.8,13.57,9.39,15.75,3.163,460
2020-01-16T00:00:00.000Z,10.73,34.83,19.38,14.85,25.27,6.81,477
2020-01-17T00:00:00.000Z,9.02,38.54,22.44,11.23,24.22,8.846,469
2020-01-18T00:00:00.000Z,9.57,24.78,17.67,14.16,20.48,3.97,514
2020-01-19T00:00:00.000Z,9.72,20.16,16.3,11.74,17.22,2.943,470
2020-01-20T00:00:00.000Z,14.9,32.15,23.34,18.1,27.76,5.073,359
2020-01-21T00:00:00.000Z,24.18,46.14,33.61,30.44,36.44,4.802,446
2020-01-22T00:00:00.000Z,31.92,37.97,35.07,32.85,36.22,1.862,16
2020-01-23T00:00:00.000Z,12.55,35.36,28.46,26.05,31.74,3.746,83
2020-01-24T00:00:00.000Z,31.72,47.91,37.4,34.34,40.65,4.159,273
