date,min,max,median,q1,q3,stdev,count
2020-09-23T00:00:00.000Z,8.77,42.97,24.94,15.66,34.13,9.911,236
2020-09-24T00:00:00.000Z,1.05,44.85,2.66,1.9,25.08,14.467,470
2020-09-25T00:00:00.000Z,1.3,41.97,2.15,1.8,5.15,2.939,351
2020-09-26T00:00:00.000Z,0.9,18.42,3.62,2.47,9.27,4.996,275
2020-09-27T00:00:00.000Z,10.32,21.7,18.23,16.05,19.62,2.866,235
2020-09-28T00:00:00.000Z,4.65,21.62,13.06,9.49,15.06,3.859,264
2020-09-29T00:00:00.000Z,1.37,20.85,3.23,2.36,11.37,6.436,256
2020-09-30T00:00:00.000Z,3.7,31.7,6.69,5.15,15.75,7.819,394
2020-10-01T00:00:00.000Z,1.73,14.35,6.78,3.9,10.25,3.553,299
2020-10-02T00:00:00.000Z,5.09,27.05,8.98,6.52,13.25,6.811,257
2020-10-03T00:00:00.000Z,5.05,33,9.02,7.57,18.04,8.095,249
2020-10-04T00:00:00.000Z,0.8,38.92,10.48,6.37,16.92,7.516,314
2020-10-05T00:00:00.000Z,0.7,6.43,1.57,1.2,2.92,1.513,322
2020-10-06T00:00:00.000Z,1.4,17.67,5.11,2.4,8.75,4.286,342
2020-10-07T00:00:00.000Z,0.85,26.45,3.39,1.9,13.04,7.237,328
2020-10-08T00:00:00.000Z,0.95,6.07,2.04,1.7,2.5,0.703,323
2020-10-09T00:00:00.000Z,0.7,2.97,1.6,1.37,1.83,0.359,341
2020-10-10T00:00:00.000Z,0.5,11.18,1.5,1.17,1.9,1.085,414
2020-10-11T00:00:00.000Z,0.3,48.4,1.9,1.52,2.6,4.762,433
2020-10-12T00:00:00.000Z,0.3,5,1.7,1.35,2.74,0.943,341
2020-10-13T00:00:00.000Z,0.3,7.53,1.37,0.96,2.47,0.959,400
2020-10-14T00:00:00.000Z,0.3,2.4,0.7,0.6,1.23,0.448,410
2020-10-15T00:00:00.000Z,0.28,2.85,0.68,0.5,0.9,0.461,402
2020-10-16T00:00:00.000Z,0.2,11.27,1.67,0.82,2.83,1.488,418
2020-10-17T00:00:00.000Z,0.22,16.23,1.95,0.6,2.52,1.458,429
2020-10-18T00:00:00.000Z,0.25,5.3,0.6,0.45,0.9,0.642,446
2020-10-19T00:00:00.000Z,0.3,2.83,1.05,0.6,1.47,0.503,436
2020-10-20T00:00:00.000Z,1.17,39.13,13.7,7.7,21.98,9.141,447
2020-10-21T00:00:00.000Z,0.7,88.97,51.67,20.5,64.53,25.026,430
2020-10-22T00:00:00.000Z,1.33,25.38,4.05,3.1,7.3,4.813,427
2020-10-23T00:00:00.000Z,1.12,11.52,2.47,1.98,3.2,1.786,412
2020-10-24T00:00:00.000Z,0.77,26.13,2.65,2.13,3.47,3.995,443
2020-10-25T00:00:00.000Z,1.9,24.33,6.09,3.91,13.04,6.294,464
2020-10-26T00:00:00.000Z,3.4,15.38,10.02,7.88,12.05,2.903,469
2020-10-27T00:00:00.000Z,1.14,19.57,6.19,4.22,9.06,3.672,444
2020-10-28T00:00:00.000Z,1.4,18.2,4.18,2.97,5.4,3.974,466
2020-10-29T00:00:00.000Z,1.8,11.75,5.12,4.09,6.09,1.743,464
2020-10-30T00:00:00.000Z,2.6,12.05,4.88,4,7.65,2.532,471
2020-10-31T00:00:00.000Z,2.38,14.52,4.3,3.67,5.96,2.051,488
2020-11-01T00:00:00.000Z,3.25,22.42,8.56,5.35,13.82,5.058,486
2020-11-02T00:00:00.000Z,1.23,19.42,7.18,3.33,9.38,4.429,458
2020-11-03T00:00:00.000Z,1.05,4.5,2.52,2.15,3.1,0.691,457
2020-11-04T00:00:00.000Z,0.7,5.75,1.88,1.5,2.64,0.891,365
2020-11-05T00:00:00.000Z,2.02,13.45,4.57,3.47,5.9,2.595,340
2020-11-06T00:00:00.000Z,2.29,7.9,4.78,3.92,5.45,1.164,335
2020-11-07T00:00:00.000Z,2.04,21.33,5.25,3.88,7.95,3.361,392
2020-11-08T00:00:00.000Z,2.83,12.05,5.3,4.55,6.8,1.926,356
2020-11-09T00:00:00.000Z,1.7,7.35,4.18,3.2,5.35,1.365,286
2020-11-10T00:00:00.000Z,3.9,16,8.27,6.6,11.82,3.074,335
2020-11-11T00:00:00.000Z,10.9,25.38,20.65,17.8,22.65,3.532,347
2020-11-12T00:00:00.000Z,4.65,22.73,11.2,7.48,13.63,5.173,297
2020-11-13T00:00:00.000Z,6.97,24.42,18.95,14.85,20.52,3.826,311
2020-11-14T00:00:00.000Z,2.4,22.2,5.77,3.58,9.94,5.239,340
2020-11-15T00:00:00.000Z,2.04,49.13,17.8,11.38,25.29,12.081,292
2020-11-16T00:00:00.000Z,1.8,36.5,4.34,3.35,5.8,3.436,285
