date, pm25, pm10, o3, no2, so2
2024/11/1, 11, 4, 25, 1, 
2024/11/2, 19, 3, 23, 2, 
2024/11/3, 14, 3, 22, 4, 
2024/11/4, 14, 3, 22, 4, 
2024/11/5, 11, 4, 16, 2, 
2024/11/6, 13, 6, 15, 3, 
2024/11/7, 16, 5, 17, 3, 
2024/11/8, 12, 5, 17, , 
2024/11/9, 13, 13, 21, 2, 
2024/11/10, 20, 4, 18, 3, 
2024/11/11, 9, 3, 14, 3, 
2024/11/12, 9, 4, 23, 1, 
2024/11/13, 6, 11, 23, 3, 
2024/11/14, 14, 12, 24, 3, 
2024/11/15, 16, , , , 
2024/10/1, 16, 2, 17, 3, 
2024/10/2, 11, 4, 20, 3, 
2024/10/3, 13, 6, 20, 5, 
2024/10/4, 14, 4, 24, 4, 
2024/10/5, 12, 4, 32, 2, 
2024/10/6, 11, 5, 26, 3, 
2024/10/7, 14, 5, 18, 2, 
2024/10/8, 12, 4, 20, 1, 
2024/10/9, 8, 4, 23, 2, 
2024/10/10, 18, 7, 30, 1, 
2024/10/11, 24, 5, 26, 2, 
2024/10/12, 16, 5, 27, 5, 
2024/10/13, 13, 4, 8, 4, 
2024/10/14, 15, 5, 17, 3, 
2024/10/15, 16, 4, 23, 2, 
2024/10/16, 13, 5, 23, 2, 
2024/10/17, 14, 7, 23, 2, 
2024/10/18, 21, 8, 21, 3, 
2024/10/19, 24, 8, 23, 1, 
2024/10/20, 28, 11, 21, 2, 
2024/10/21, 35, 11, 25, 1, 
2024/10/22, 28, 6, 25, 1, 
2024/10/23, 15, 8, 24, 2, 
2024/10/24, 20, 7, 28, 3, 
2024/10/25, 17, 13, 27, 2, 
2024/10/26, 41, 9, 19, 2, 
2024/10/27, 32, 5, 23, 2, 
2024/10/28, 13, 4, 25, 2, 
2024/10/29, 9, 5, 26, 1, 1
2024/10/30, 10, 5, 23, 4, 
2024/10/31, 9, 2, 21, 5, 
2024/7/1, 27, 6, 31, 1, 
2024/7/2, 17, 4, 30, 2, 
2024/7/3, 14, 7, 26, 4, 
2024/7/4, 20, 5, 30, 2, 
2024/7/5, 15, 5, 32, 1, 
2024/7/6, 17, 10, 26, 6, 
2024/7/7, 24, 7, 31, 1, 
2024/7/8, 19, 7, 33, 2, 
2024/7/9, 20, 6, 32, 4, 
2024/7/10, 17, 11, 30, 4, 
2024/7/11, 27, 7, 27, 3, 
2024/7/12, 23, 8, 31, 3, 
2024/7/13, 28, 6, 31, 1, 
2024/7/14, 18, 5, 39, 1, 
2024/7/15, 17, 9, 39, 3, 
2024/7/16, 25, 11, 40, 2, 
2024/7/17, 30, 6, 34, 1, 
2024/7/18, 17, 3, 25, 1, 
2024/7/19, 9, 6, 20, 1, 
2024/7/20, 18, 7, 19, 1, 
2024/7/21, 24, 9, 25, 2, 
2024/7/22, 32, 13, 39, 3, 
2024/7/23, 39, 9, 31, 2, 
2024/7/24, 26, 10, 33, 3, 
2024/7/25, 31, 10, 36, 4, 
2024/7/26, 31, 8, 35, 1, 
2024/7/27, 20, 7, 35, 1, 
2024/7/28, 19, 10, 30, 2, 
2024/7/29, 25, 5, 24, 1, 
2024/7/30, 15, 5, 23, 1, 
2024/7/31, 14, 4, 16, 1, 
2024/8/1, 12, 6, 16, 1, 
2024/8/2, 20, 5, 27, 1, 
2024/8/3, 16, 5, 26, 2, 
2024/8/4, 21, 7, 18, 3, 
2024/8/5, 25, 11, 19, 4, 
2024/8/6, 37, 7, 24, 3, 
2024/8/7, 23, 9, 25, 4, 
2024/8/8, 31, 10, 28, 4, 
2024/8/9, 33, 6, 31, 1, 
2024/8/10, 15, 4, 23, 1, 
2024/8/11, 12, 4, 18, 1, 
2024/8/12, 11, 6, 24, 3, 
2024/8/13, 16, 8, 25, 2, 
2024/8/14, 21, 7, 27, 4, 
2024/8/15, 18, 13, 34, 4, 
2024/8/16, 30, 6, 29, 1, 
2024/8/17, 20, 6, 29, 1, 
2024/8/18, 17, 8, 33, 2, 
2024/8/19, 22, 9, 31, 5, 
2024/8/20, 26, 11, 27, 2, 
2024/8/21, 27, 7, 35, 2, 
2024/8/22, 18, 8, 28, 2, 
2024/8/23, 19, 8, 28, 1, 
2024/8/24, 25, 11, 42, 2, 
2024/8/25, 27, 10, 29, 1, 
2024/8/26, 29, 14, 30, 2, 
2024/8/27, 48, 13, 34, 2, 
2024/8/28, 42, 12, 34, 4, 
2024/8/29, 38, 18, 34, 4, 
2024/8/30, 50, 10, 35, 1, 
2024/8/31, 31, 4, 22, 1, 
2024/9/1, 19, 10, 26, 2, 
2024/9/2, 24, 16, 14, 7, 
2024/9/3, 46, 16, 44, 6, 
2024/9/4, 50, 25, 35, 7, 
2024/9/5, 55, 14, 33, 5, 
2024/9/6, 37, 18, 27, 7, 
2024/9/7, 34, 25, 32, 7, 
2024/9/8, 59, 24, 37, 3, 
2024/9/9, 51, 23, 35, 4, 
2024/9/10, 43, 10, 34, 4, 
2024/9/11, 28, 7, 25, 3, 
2024/9/12, 26, 10, 19, 6, 
2024/9/13, 34, 15, 16, 4, 
2024/9/14, 37, 4, 21, 1, 
2024/9/15, 12, 12, 13, 5, 
2024/9/16, 26, 18, 17, 7, 
2024/9/17, 51, 6, 12, 3, 
2024/9/18, 19, 6, 13, 3, 
2024/9/19, 13, 6, 20, 2, 
2024/9/20, 15, 5, 25, 1, 
2024/9/21, 10, 3, 26, 1, 
2024/9/22, 8, 9, 21, 4, 
2024/9/23, 14, 17, 23, 6, 
2024/9/24, 39, 16, 31, 3, 
2024/9/25, 40, 6, 35, 2, 
2024/9/26, 16, 6, 35, 2, 
2024/9/27, 15, 3, 29, , 
2024/9/28, 10, 3, 26, , 
2024/9/29, 13, 7, 26, 6, 
2024/9/30, 14, 7, 24, 11, 
2024/4/1, 44, 15, 27, 2, 
2024/4/2, 13, 5, 28, 2, 
2024/4/3, 20, 12, 29, 2, 
2024/4/4, 18, 14, 28, 1, 
2024/4/5, 15, 4, 25, 2, 
2024/4/6, 20, 5, 30, 6, 
2024/4/7, 21, 10, 37, 3, 
2024/4/8, 25, 17, 31, 8, 
2024/4/9, 25, 17, 30, 4, 
2024/4/10, 26, 14, 31, 3, 2
2024/4/11, 18, 9, 30, 1, 
2024/4/12, 14, 7, 25, 3, 
2024/4/13, 12, 3, 34, 3, 
2024/4/14, 7, 10, 27, 2, 
2024/4/15, 17, 17, 18, 8, 
2024/4/16, 21, 4, 25, 3, 
2024/4/17, 16, 9, 31, 2, 
2024/4/18, 19, 12, 26, 2, 
2024/4/19, 15, 5, 26, 1, 1
2024/4/20, 24, 6, 26, 1, 
2024/4/21, 26, 7, 26, 3, 
2024/4/22, 18, 3, 25, 2, 
2024/4/23, 17, 7, 29, 2, 
2024/4/24, 22, 5, 23, 4, 
2024/4/25, 14, 6, 29, 4, 
2024/4/26, 17, 7, 33, 3, 
2024/4/27, 19, 8, 32, 3, 
2024/4/28, 27, 19, 38, 5, 
2024/4/29, 34, 17, 32, 3, 
2024/4/30, 30, 9, 28, 3, 
2024/5/1, 11, 25, 30, 10, 
2024/5/2, 22, 18, 34, 6, 
2024/5/3, 17, 11, 37, 1, 
2024/5/4, 13, 5, 31, 1, 
2024/5/5, 11, 11, 32, 2, 
2024/5/6, 18, 11, 31, 3, 
2024/5/7, 17, 11, 26, 2, 
2024/5/8, 25, 8, 31, 3, 3
2024/5/9, 19, 6, 31, 1, 
2024/5/10, 13, 6, 33, 1, 
2024/5/11, 12, 8, 30, 2, 
2024/5/12, 17, 12, 29, 4, 
2024/5/13, 21, 18, 24, 10, 
2024/5/14, 34, 13, 35, 5, 
2024/5/15, 20, 18, 39, 3, 
2024/5/16, 26, 18, 35, 7, 
2024/5/17, 33, 11, 37, 4, 
2024/5/18, 20, 13, 42, 4, 
2024/5/19, 25, 14, 38, 3, 
2024/5/20, 20, 15, 32, 4, 
2024/5/21, 19, 17, 31, 5, 
2024/5/22, 20, 24, 38, 5, 
2024/5/23, 31, 21, 42, 5, 
2024/5/24, 38, 20, 43, 6, 
2024/5/25, 46, 16, 42, 2, 
2024/5/26, 50, 21, 38, 6, 
2024/5/27, 44, 21, 44, 8, 
2024/5/28, 47, 20, 38, 7, 
2024/5/29, 47, 11, 44, 5, 
2024/5/30, 36, 17, 47, 5, 
2024/5/31, 60, 19, 47, 5, 
2024/6/1, 77, 7, 48, 3, 
2024/6/2, 24, 11, 45, 4, 
2024/6/3, 33, 12, 34, 2, 
2024/6/4, 28, 9, 35, 2, 
2024/6/5, 22, 9, 33, 4, 
2024/6/6, 22, 7, 34, 1, 
2024/6/7, 21, 6, 36, 2, 
2024/6/8, 17, 7, 31, 2, 
2024/6/9, 21, 6, 26, 4, 
2024/6/10, 19, 7, 28, 3, 
2024/6/11, 21, 7, 33, 3, 
2024/6/12, 25, 7, 33, 2, 
2024/6/13, 22, 7, 35, 3, 
2024/6/14, 18, 6, 32, 3, 
2024/6/15, 17, 8, 43, 2, 
2024/6/16, 24, 13, 38, 5, 
2024/6/17, 34, 6, 33, 2, 
2024/6/18, 21, 7, 32, 3, 
2024/6/19, 22, 7, 27, 1, 
2024/6/20, 16, 6, 33, 1, 
2024/6/21, 20, 4, 27, 1, 
2024/6/22, 12, 5, 30, 2, 
2024/6/23, 18, 11, 27, 7, 
2024/6/24, 28, 9, 26, 1, 
2024/6/25, 18, 8, 35, 2, 
2024/6/26, 24, 9, 39, 2, 
2024/6/27, 25, 16, 38, 6, 
2024/6/28, 39, 10, 39, 2, 
2024/6/29, 27, 7, 29, 2, 
2024/6/30, 15, 11, 31, 4, 
2024/1/1, 43, 4, 22, 9, 
2024/1/2, 18, 4, 19, 8, 
2024/1/3, 16, 4, 20, 6, 
2024/1/4, 19, 5, 22, 7, 
2024/1/5, 22, 9, 21, 9, 
2024/1/6, 40, 12, 14, 20, 
2024/1/7, 51, 5, 22, 8, 
2024/1/8, 23, 2, 25, 4, 
2024/1/9, 10, 2, 29, 6, 1
2024/1/10, 6, 5, 29, 6, 
2024/1/11, 18, 3, 24, 6, 
2024/1/12, 18, 4, 24, 6, 
2024/1/13, 14, 5, 22, 4, 
2024/1/14, 24, 7, 17, 11, 
2024/1/15, 35, 6, 21, 8, 1
2024/1/16, 31, 8, 27, 17, 
2024/1/17, 26, 4, 27, 6, 
2024/1/18, 18, 6, 22, 5, 
2024/1/19, 30, 9, 12, 21, 
2024/1/20, 38, 9, 24, 12, 
2024/1/21, 34, 4, 24, 3, 1
2024/1/22, 18, 10, 27, 3, 3
2024/1/23, 27, 5, 25, 5, 1
2024/1/24, 11, 4, 26, 4, 2
2024/1/25, 20, 4, 27, 7, 1
2024/1/26, 12, 5, 26, 1, 1
2024/1/27, 18, 5, 22, 3, 1
2024/1/28, 14, 9, 22, 5, 4
2024/1/29, 31, 11, 12, 12, 2
2024/1/30, 41, 8, 24, 5, 2
2024/1/31, 37, 3, 32, 2, 3
2024/2/1, 13, 5, 32, 3, 1
2024/2/2, 14, 4, 27, 4, 2
2024/2/3, 18, 3, 31, 1, 3
2024/2/4, 11, 5, 29, 4, 2
2024/2/5, 18, 6, 23, 6, 1
2024/2/6, 23, 5, 17, 6, 
2024/2/7, 24, 12, 17, 13, 
2024/2/8, 44, 15, 14, 16, 11
2024/2/9, 47, 8, 20, 9, 
2024/2/10, 33, 8, 20, 8, 
2024/2/11, 32, 12, 28, 6, 
2024/2/12, 30, 11, 28, 5, 
2024/2/13, 25, 6, 23, 7, 
2024/2/14, 29, 7, 15, 7, 
2024/2/15, 31, 2, 22, 4, 
2024/2/16, 10, 4, 31, 2, 
2024/2/17, 24, 6, 31, 7, 
2024/2/18, 20, 5, 24, 7, 
2024/2/19, 14, 6, 25, 5, 
2024/2/20, 18, 6, 20, 4, 
2024/2/21, 26, 3, 14, 5, 
2024/2/22, 13, 6, 20, 3, 
2024/2/23, 29, 4, 23, 4, 
2024/2/24, 18, 5, 29, 3, 1
2024/2/25, 26, 3, 16, 7, 
2024/2/26, 16, 3, 20, 7, 
