date, pm25, pm10, o3, no2, so2, co
2025/11/1, 30, 9, 18, 5, 1, 
2025/11/2, 21, 12, , , 1, 
2025/11/3, 17, 8, , , 1, 
2025/11/4, 13, 14, 23, 8, 2, 
2025/11/5, 30, , 18, 11, 1, 
2025/11/9, 42, 15, 21, 5, 1, 
2025/11/10, 38, 18, 22, 6, , 
2025/11/11, 50, 20, 17, 9, , 
2025/11/12, 53, 19, 17, 10, , 
2025/11/13, 53, 19, 17, 12, , 
2025/11/14, 53, 23, 23, 9, , 
2025/11/15, 55, , , , , 
2025/10/2, 21, 13, 35, 1, 1, 
2025/10/3, 25, 14, 35, 2, 1, 
2025/10/4, 21, 10, 32, , 1, 
2025/10/5, 17, 6, 30, 1, 1, 
2025/10/6, 13, 9, 31, 2, 1, 
2025/10/7, 17, 12, 31, 3, , 
2025/10/8, 21, 15, 29, 5, 1, 
2025/10/9, 25, 17, 30, 4, 1, 
2025/10/10, 38, 17, 29, 4, 1, 
2025/10/11, 38, 18, 28, 5, 1, 
2025/10/12, 34, 15, 28, 3, 1, 
2025/10/13, 34, 17, 27, 4, 1, 
2025/10/14, 34, 18, 28, 4, 1, 
2025/10/15, 46, 12, 32, 2, 1, 
2025/10/16, 21, 16, 30, 2, 1, 
2025/10/17, 21, 15, 30, 2, 1, 
2025/10/18, 30, 16, 33, 2, 1, 
2025/10/19, 46, 20, 28, 6, 1, 
2025/10/20, 46, 12, 35, 6, 1, 
2025/10/21, 34, 13, , 7, 1, 
2025/10/22, 30, 14, , 2, 1, 
2025/10/23, 17, 25, 28, 5, 1, 
2025/10/24, 17, 15, 25, 5, 1, 
2025/10/25, 13, 18, 29, 2, 1, 
2025/10/26, 21, 22, 21, 6, 1, 
2025/10/27, 25, 21, 20, 7, 1, 
2025/10/28, 25, 18, 22, 6, 1, 
2025/10/29, 30, 11, 28, 2, 1, 
2025/10/30, 17, 12, 22, 6, 1, 
2025/10/31, 30, 14, 17, 5, 1, 
2025/7/1, 46, 26, 35, 1, 1, 
2025/7/2, 42, 23, 41, 2, 1, 
2025/7/3, 42, 23, 34, 1, , 
2025/7/4, 50, 17, 29, 1, , 
2025/7/5, 38, 19, 24, 2, , 
2025/7/6, 38, 19, 34, , , 
2025/7/7, 25, 25, 32, , , 
2025/7/8, 25, 15, 35, 1, , 
2025/7/9, 17, 13, 38, 1, , 
2025/7/10, 25, 17, 41, 2, , 
2025/7/11, 25, 15, 36, 3, , 
2025/7/12, 30, 12, 27, 3, , 
2025/7/13, 25, 14, 28, 3, , 
2025/7/14, 25, 16, 32, 4, , 
2025/7/15, 34, 18, 31, 2, , 
2025/7/16, 38, 18, 29, 1, , 
2025/7/17, 34, 16, 28, 1, , 
2025/7/18, 30, 20, 28, 2, , 
2025/7/19, 38, 20, 30, , , 
2025/7/20, 38, 23, 25, , , 
2025/7/21, 34, 20, , , , 
