date, pm25, pm10, o3, no2, so2, co
2025/11/1, 34, 13, 18, 4, 1, 
2025/11/2, 30, 20, 19, 7, 1, 
2025/11/3, 25, 10, 13, 11, 1, 
2025/11/4, 25, 17, 9, 14, 2, 
2025/11/5, 42, 19, 11, 12, 1, 
2025/11/6, 57, 22, 4, 15, 1, 
2025/11/7, 65, 18, 13, 8, 1, 
2025/11/8, 63, 15, 15, 6, 1, 
2025/11/9, 50, 18, 10, 12, 1, 
2025/11/10, 53, 23, 10, 11, , 
2025/11/11, 59, 26, 9, 12, , 
2025/11/12, 65, 32, 7, 13, , 
2025/11/13, 63, 30, 9, 12, , 
2025/11/14, 63, 24, 12, 12, , 
2025/11/15, 61, , , , , 
2025/10/2, 30, 10, 26, 3, 1, 
2025/10/3, 30, 13, 25, 6, 1, 
2025/10/4, 34, 10, 25, 3, 1, 
2025/10/5, 17, 9, 20, 5, 1, 
2025/10/6, 17, 19, 14, 9, 1, 
2025/10/9, 38, 20, 18, 9, 1, 
2025/10/10, 42, 19, 17, 10, 1, 
2025/10/11, 50, 20, 15, 9, 1, 
2025/10/12, 50, 16, 14, 10, 1, 
2025/10/13, 46, 17, 13, 11, 1, 
2025/10/14, 46, 16, 15, 9, 1, 
2025/10/15, 53, 14, 17, 11, 1, 
2025/10/16, 34, 15, 17, 10, 1, 
2025/10/17, 34, 12, 16, 9, 1, 
2025/10/18, 42, 18, 17, 8, 1, 
2025/10/19, 55, 20, 16, 11, 1, 
2025/10/20, 50, 13, 17, 12, 1, 
2025/10/21, 46, 15, 9, 10, 1, 
2025/10/22, 42, 17, 18, 6, 1, 
2025/10/23, 42, 27, 17, 10, 1, 
2025/10/24, 30, 19, 18, 6, 1, 
2025/10/25, 34, 17, 25, 3, 1, 
2025/10/26, 21, 22, 15, 9, 1, 
2025/10/27, 30, 25, 11, 10, 1, 
2025/10/28, 38, 20, 15, 9, 1, 
2025/10/31, 30, 18, 11, 6, 1, 
2025/7/1, 61, 21, 51, 6, 1, 
2025/7/2, 59, 21, 68, 7, 1, 
2025/7/3, 61, 24, , 7, , 
2025/7/4, 59, 17, 29, 5, , 
2025/7/5, 50, 17, 26, 3, , 
2025/7/6, 53, 16, 29, 4, , 
2025/7/7, 34, 21, 31, 2, , 
2025/7/8, 30, 14, 31, 3, , 
2025/7/9, 25, 16, 32, 6, , 
2025/7/10, 25, 19, 33, 9, , 
2025/7/11, 34, 18, 32, 7, , 
2025/7/12, 38, 17, 24, 6, , 
2025/7/13, 34, 16, 24, 6, , 
2025/7/14, 30, 13, 31, 7, , 
2025/7/15, 42, 16, 32, 8, , 
2025/7/16, 46, 17, 29, 6, , 
2025/7/17, 42, 12, 28, 6, , 
2025/7/18, 38, 14, 27, 6, , 
2025/7/19, 34, 19, 27, 4, , 
2025/7/20, 42, 22, 25, 4, , 
2025/7/21, 46, 19, 28, 4, , 
2025/7/22, 38, 20, 26, 5, , 
2025/7/23, 34, 16, 26, 6, , 
2025/7/24, 34, 20, 31, 7, , 
2025/7/25, 38, 11, 36, 2, , 
2025/7/26, 21, 10, 32, 3, , 
2025/7/27, 25, 16, 26, 5, , 
2025/7/28, 25, 8, 28, 3, , 
2025/7/29, 13, 11, 31, 5, , 
2025/7/30, 21, 12, 29, 6, , 
2025/7/31, 30, 14, 26, 6, , 
2025/8/1, 30, 12, 26, 5, , 
2025/8/2, 30, 12, 35, 2, , 
2025/8/3, 21, 11, 30, 4, , 
2025/8/4, 25, 11, 29, 4, , 
2025/8/5, 25, 19, 32, 7, , 
2025/8/6, 38, 20, 36, 7, 1, 
2025/8/7, 46, 18, 32, 8, 1, 
2025/8/8, 50, , 33, 8, 1, 
