date, pm25, pm10
2024/11/1, 7, 4
2024/11/2, 5, 3
2024/11/3, 5, 8
2024/11/4, 7, 4
2024/11/5, 10, 5
2024/11/6, 13, 7
2024/11/7, 13, 8
2024/11/8, 13, 7
2024/11/9, 17, 4
2024/11/10, 11, 
2024/10/1, 13, 4
2024/10/2, 7, 7
2024/10/3, 16, 7
2024/10/4, 15, 4
2024/10/5, 12, 6
2024/10/6, 11, 8
2024/10/7, 16, 11
2024/10/8, 25, 6
2024/10/9, 16, 7
2024/10/10, 18, 2
2024/10/11, 5, 5
2024/10/12, 10, 6
2024/10/13, 13, 7
2024/10/14, 15, 8
2024/10/15, 10, 7
2024/10/16, 12, 8
2024/10/17, 13, 16
2024/10/18, 33, 15
2024/10/19, 33, 18
2024/10/20, 44, 18
2024/10/21, 37, 12
2024/10/22, 24, 10
2024/10/23, 13, 9
2024/10/24, 17, 8
2024/10/25, 19, 12
2024/10/26, 30, 3
2024/10/27, 7, 7
2024/10/28, 16, 5
2024/10/29, 10, 5
2024/10/30, 6, 5
2024/10/31, 12, 4
2024/7/4, 15, 6
2024/7/5, 10, 6
2024/7/6, 14, 9
2024/7/7, 13, 6
2024/7/8, 10, 6
2024/7/9, 9, 8
2024/7/10, 10, 10
2024/7/11, 25, 7
2024/7/12, 15, 8
2024/7/13, 20, 4
2024/7/14, 9, 6
2024/7/15, 11, 7
2024/7/16, 15, 10
2024/7/17, 23, 4
2024/7/18, 8, 4
2024/7/19, 6, 6
2024/7/20, 13, 9
2024/7/21, 27, 11
2024/7/22, 30, 12
2024/7/23, 29, 8
2024/7/24, 16, 7
2024/7/25, 18, 6
2024/7/26, 13, 7
2024/7/27, 18, 5
2024/7/28, 11, 5
2024/7/29, 7, 6
2024/7/30, 10, 9
2024/7/31, 19, 6
2024/8/1, 10, 9
2024/8/2, 15, 7
2024/8/3, 16, 9
2024/8/4, 24, 11
2024/8/5, 26, 11
2024/8/6, 26, 9
2024/8/7, 22, 7
2024/8/8, 17, 7
2024/8/9, 15, 8
