date, pm25, pm10, no2
2024/6/1, 48, 25, 6
2024/6/2, 41, 32, 14
2024/6/3, 40, 23, 9
2024/6/4, 20, 31, 8
2024/6/5, 33, 20, 6
2024/6/6, 26, 17, 8
2024/6/7, 22, 13, 6
2024/6/8, 26, 8, 4
2024/6/9, 14, ,
2024/5/1, 37, 30, 12
2024/5/2, 19, 35, 10
2024/5/3, 25, 34, 11
2024/5/4, 25, 9, 11
2024/5/5, 19, 25, 8
2024/5/6, 18, 28, 9
2024/5/7, 20, 8, 6
2024/5/8, 15, 14, 8
2024/5/9, 28, 15, 7
2024/5/10, 15, 18, 9
2024/5/11, 16, 23, 10
2024/5/12, 22, 36, 14
2024/5/13, 28, 29, 9
2024/5/14, 23, 42, 11
2024/5/15, 25, 46, 13
2024/5/16, 33, 47, 14
2024/5/17, 42, 36, 12
2024/5/18, 39, 34, 8
2024/5/19, 33, 26, 10
2024/5/20, 14, 26, 11
2024/5/21, 15, 32, 13
2024/5/22, 21, 36, 8
2024/5/23, 32, 19, 11
2024/5/24, 41, 22, 10
2024/5/25, 39, 26, 8
2024/5/26, 48, 26, 9
2024/5/27, 40, 27, 10
2024/5/28, 41, 28, 11
2024/5/29, 42, 19, 11
2024/5/30, 29, 33, 16
2024/5/31, 51, 30, 8
2024/4/1, 32, 7, 4
2024/4/2, 18, 5, 4
2024/4/3, 12, 7, 7
2024/4/4, 12, 7, 11
2024/4/5, 20, 6, 7
2024/4/6, 17, 12, 4
2024/4/7, 21, 43, 10
2024/4/8, 31, 40, 17
2024/4/9, 44, 53, 7
2024/4/10, 37, 22, 7
2024/4/11, 23, 33, 10
2024/4/12, 34, 19, 6
2024/4/13, 17, 5, 4
2024/4/14, 10, 15, 7
2024/4/15, 10, 11, 8
2024/4/16, 15, 27, 6
2024/4/17, 19, 16, 10
2024/4/18, 26, 31, 11
2024/4/19, 30, 26, 5
2024/4/20, 22, 15, 4
2024/4/21, 19, 29, 5
2024/4/22, 22, 30, 9
2024/4/23, 29, 29, 9
2024/4/24, 35, 10, 12
2024/4/25, 26, 4, 14
2024/4/26, 14, 11, 10
2024/4/27, 28, 16, 10
2024/4/28, 35, 35, 15
2024/4/29, 39, 40, 15
2024/4/30, 33, 31, 10
2024/1/1, 23, 6, 7
2024/1/2, 13, 7, 5
2024/1/3, 12, 6, 7
2024/1/4, 16, 6, 11
2024/1/5, 19, 9, 12
2024/1/6, 28, 13, 15
2024/1/7, 40, 5, 14
2024/1/8, 17, 3, 14
2024/1/9, 10, 3, 15
2024/1/10, 9, 4, 14
2024/1/11, 8, 4, 7
2024/1/12, 9, 5, 7
2024/1/13, 14, 4, 6
2024/1/14, 13, 3, 7
2024/1/15, 8, 5, 18
2024/1/16, 15, 4, 6
2024/1/17, 13, 4, 9
2024/1/18, 11, 12, 22
2024/1/19, 30, 15, 17
2024/1/20, 44, 7, 4
2024/1/21, 21, 6, 4
2024/1/22, 18, 8, 10
2024/1/23, 17, 4, 10
2024/1/24, 12, 3, 7
2024/1/25, 9, 5, 6
2024/1/26, 15, 6, 11
2024/1/27, 18, 5, 5
2024/1/28, 15, 17, 11
2024/1/29, 32, 16, 12
2024/1/30, 44, 7, 8
2024/1/31, 19, 39, 8
2024/2/1, 22, 33, 10
2024/2/2, 22, 19, 6
2024/2/3, 12, 25, 8
2024/2/4, 17, 34, 11
2024/2/5, 20, 42, 14
2024/2/6, 41, 81, 9
2024/2/7, 46, 72, 14
2024/2/8, 55, 8, 13
2024/2/9, 22, 7, 9
2024/2/10, 23, 11, 8
2024/2/11, 34, 14, 9
2024/2/12, 43, 7, 13
2024/2/13, 22, 14, 15
2024/2/14, 39, 16, 13
2024/2/15, 43, 7, 6
2024/2/16, 21, 9, 5
2024/2/17, 7, 29, 10
2024/2/18, 17, 7, 6
