date, pm25, pm10, no2
2025/11/2, 44, 3, 12
2025/11/3, 10, 9, 5
2025/11/4, 27, 12, 17
2025/11/5, 41, 14, 10
2025/11/6, 51, 12, 7
2025/11/7, 41, 16, 7
2025/11/8, 57, 10, 11
2025/11/9, 39, 12, 9
2025/11/10, 42, 11, 13
2025/11/11, 37, 15, 10
2025/11/12, 47, , 11
2025/10/2, 36, 11, 9
2025/10/3, 36, 11, 8
2025/10/4, 35, 3, 2
2025/10/5, 9, 4, 4
2025/10/6, 12, 4, 6
2025/10/7, 12, 9, 7
2025/10/8, 33, 8, 6
2025/10/9, 31, 7, 6
2025/10/10, 26, 9, 4
2025/10/11, 32, 8, 5
2025/10/12, 26, 8, 5
2025/10/13, 29, 10, 10
2025/10/14, 33, 9, 8
2025/10/15, 32, 10, 10
2025/10/16, 33, 9, 10
2025/10/17, 28, 7, 9
2025/10/18, 23, 7, 9
2025/10/19, 22, 12, 8
2025/10/20, 32, 20, 12
2025/10/21, 51, 15, 11
2025/10/22, 48, 12, 7
2025/10/23, 32, 3, 3
2025/10/24, 8, 3, 10
2025/10/25, 10, 2, 4
2025/10/26, 8, 3, 5
2025/10/27, 6, 4, 8
2025/10/28, 13, 6, 10
2025/10/29, 19, 10, 11
2025/10/30, 25, 6, 9
2025/10/31, 20, , 8
2025/7/1, 18, 19, 9
2025/7/2, 22, 15, 8
2025/7/3, 23, 11, 4
2025/7/4, 32, 14, 7
2025/7/5, 30, 11, 5
2025/7/6, 27, 7, 4
2025/7/7, 22, 4, 3
2025/7/8, 13, 9, 4
2025/7/9, 23, 7, 4
2025/7/10, 22, 6, 4
2025/7/11, 17, 6, 9
2025/7/12, 18, 8, 7
2025/7/13, 24, 8, 6
2025/7/14, 19, 7, 4
2025/7/15, 19, 11, 3
2025/7/16, 30, 5, 3
2025/7/17, 15, 6, 4
2025/7/18, 19, 8, 7
2025/7/19, 20, 10, 5
2025/7/20, 25, 11, 5
2025/7/21, 25, 5, 3
2025/7/22, 9, 9, 8
2025/7/23, 15, 11, 6
2025/7/24, 21, 9, 5
2025/7/25, 28, 10, 4
2025/7/26, 38, 9, 3
2025/7/27, 33, 6, 3
2025/7/28, 20, 8, 3
2025/7/29, 22, 6, 3
2025/7/30, 17, 7, 3
2025/7/31, 17, 6, 5
2025/8/1, 15, 5, 5
2025/8/2, 13, 5, 1
2025/8/3, 15, 6, 3
2025/8/4, 18, 7, 4
2025/8/5, 19, 7, 3
2025/8/6, 16, 10, 8
2025/8/7, 19, 13, 10
2025/8/8, 28, 14, 9
2025/8/9, 30, 15, 3
2025/8/10, 36, 14, 4
2025/8/11, 27, 18, 9
2025/8/12, 29, 21, 7
2025/8/13, 37, 20, 12
2025/8/14, 35, 15, 7
2025/8/15, 34, 19, 4
2025/8/16, 43, 14, 3
2025/8/17, 36, 11, 4
2025/8/18, 18, 15, 8
2025/8/19, 22, 15, 8
2025/8/20, 24, 16, 10
2025/8/21, 43, 11, 4
2025/8/22, 30, 8, 4
2025/8/23, 14, 3, 4
2025/8/24, 10, 6, 6
2025/8/25, 13, 11, 9
2025/8/26, 20, 16, 11
2025/8/27, 35, 19, 5
2025/8/28, 40, 12, 7
2025/8/29, 23, 5, 4
2025/8/30, 15, 6, 5
2025/8/31, 22, 9, 8
2025/9/1, 22, 6, 5
2025/9/2, 17, 5, 7
2025/9/3, 13, 9, 11
2025/9/4, 16, 5, 3
2025/9/5, 11, 4, 5
2025/9/6, 13, 6, 6
2025/9/7, 20, 10, 6
2025/9/8, 34, 14, 10
2025/9/9, 30, 12, 8
2025/9/10, 41, 5, 4
2025/9/11, 15, 6, 10
2025/9/12, 17, 7, 7
2025/9/13, 27, 4, 3
2025/9/14, 16, 7, 10
2025/9/15, 17, 6, 5
2025/9/16, 14, 6, 4
2025/9/17, 13, 8, 11
2025/9/18, 18, 7, 12
2025/9/19, 18, 10, 7
2025/9/20, 25, 8, 4
2025/9/21, 17, 12, 6
2025/9/22, 27, 9, 5
2025/9/23, 23, 7, 5
2025/9/24, 22, , 
2025/4/1, 49, 20, 8
2025/4/2, 61, 17, 7
2025/4/3, 38, 14, 15
2025/4/4, 35, 11, 4
2025/4/5, 25, 15, 1
2025/4/6, 20, 6, 5
2025/4/7, 14, 10, 7
2025/4/8, 25, 10, 7
2025/4/9, 23, 14, 5
2025/4/10, 33, 17, 5
2025/4/11, 36, 12, 6
2025/4/12, 34, 18, 8
2025/4/13, 46, 18, 9
2025/4/14, 42, 11, 4
2025/4/15, 36, 16, 8
2025/4/16, 33, 19, 5
2025/4/17, 34, 8, 4
2025/4/18, 28, 6, 6
2025/4/19, 15, 9, 7
2025/4/20, 30, 10, 6
2025/4/21, 23, 7, 5
2025/4/22, 18, 11, 7
2025/4/23, 21, 8, 5
2025/4/24, 23, 4, 5
2025/4/25, 15, 13, 5
2025/4/26, 35, 10, 7
2025/4/27, 30, 13, 10
2025/4/28, 32, 17, 13
2025/4/29, 40, 13, 9
2025/4/30, 27, 12, 8
2025/5/1, 26, 15, 12
2025/5/2, 31, 14, 7
2025/5/3, 31, 8, 4
2025/5/4, 24, 9, 6
2025/5/5, 33, 12, 6
2025/5/6, 37, 13, 7
2025/5/7, 37, 13, 8
2025/5/8, 28, 11, 6
2025/5/9, 24, 10, 7
2025/5/10, 21, 8, 6
2025/5/11, 21, 12, 8
2025/5/12, 26, 12, 7
2025/5/13, 24, 12, 6
2025/5/14, 21, 16, 6
2025/5/15, 25, 7, 4
2025/5/16, 14, 8, 3
2025/5/17, 25, 4, 4
2025/5/18, 14, 8, 6
2025/5/19, 20, 11, 7
2025/5/20, 28, 14, 11
2025/5/21, 39, 8, 6
2025/5/22, 24, 9, 4
2025/5/23, 22, 8, 4
2025/5/24, 19, 5, 3
2025/5/25, 15, 6, 3
2025/5/26, 17, 9, 4
2025/5/27, 24, 7, 3
2025/5/28, 16, 4, 2
2025/5/29, 13, 9, 6
2025/5/30, 28, 8, 6
2025/5/31, 21, 10, 7
2025/6/1, 28, 10, 6
2025/6/2, 25, 6, 4
2025/6/3, 17, 13, 6
2025/6/4, 31, 9, 4
2025/6/5, 16, 10, 8
2025/6/6, 22, 5, 4
2025/6/7, 14, 6, 3
2025/6/8, 25, 8, 2
2025/6/9, 22, 14, 6
2025/6/10, 38, 17, 5
2025/6/11, 46, 13, 7
2025/6/12, 32, 12, 6
2025/6/13, 24, 12, 8
2025/6/14, 24, 14, 10
2025/6/15, 30, 8, 4
2025/6/16, 19, 10, 5
2025/6/17, 22, 13, 8
2025/6/18, 32, 12, 3
2025/6/19, 32, 12, 4
2025/6/20, 19, 13, 6
2025/6/21, 24, 12, 8
2025/6/22, 24, 19, 11
2025/6/23, 37, 11, 4
2025/6/24, 22, 9, 5
2025/6/25, 15, 17, 11
2025/6/26, 27, 8, 3
2025/6/27, 21, 7, 4
2025/6/28, 15, 7, 4
2025/6/29, 16, 9, 5
2025/6/30, 17, 13, 7
2025/1/1, 94, 27, 11
2025/1/2, 83, 6, 5
2025/1/3, 23, 10, 8
2025/1/4, 35, 17, 8
2025/1/5, 62, 23, 11
2025/1/6, 73, 9, 16
2025/1/7, 33, 6, 10
2025/1/8, 17, 18, 16
2025/1/9, 57, 5, 4
2025/1/10, 13, 8, 4
2025/1/11, 27, 8, 3
2025/1/12, 29, 9, 6
2025/1/13, 28, 18, 16
2025/1/14, 51, 14, 11
2025/1/15, 54, 14, 13
2025/1/16, 51, 19, 10
2025/1/17, 64, 18, 8
2025/1/18, 63, 20, 6
2025/1/19, 68, 20, 6
2025/1/20, 68, 21, 7
2025/1/21, 69, 18, 9
2025/1/22, 60, 15, 11
2025/1/23, 56, 15, 18
2025/1/24, 52, 16, 10
2025/1/25, 57, 12, 10
2025/1/26, 44, 19, 21
2025/1/27, 56, 9, 7
2025/1/28, 23, 10, 17
2025/1/29, 24, 18, 15
2025/1/30, 52, 10, 11
2025/1/31, 34, 11, 13
2025/2/1, 37, 17, 10
2025/2/2, 59, 16, 11
2025/2/3, 54, 23, 19
2025/2/4, 66, 21, 12
2025/2/5, 67, 13, 8
2025/2/6, 51, 32, 8
2025/2/7, 92, 22, 5
2025/2/8, 67, 25, 10
2025/2/9, 73, 21, 13
2025/2/10, 60, 20, 8
2025/2/11, 58, 28, 9
2025/2/12, 78, 26, 10
2025/2/13, 79, 21, 8
2025/2/14, 69, 9, 5
2025/2/15, 33, 10, 5
2025/2/16, 42, 25, 12
2025/2/17, 75, 22, 11
2025/2/18, 67, 25, 16
2025/2/19, 70, 24, 13
2025/2/20, 71, 22, 9
2025/2/21, 67, 30, 9
2025/2/22, 85, 35, 20
2025/2/23, 97, 38, 24
2025/2/24, 95, 34, 11
2025/2/25, 96, 14, 10
2025/2/26, 42, 11, 11
2025/2/27, 42, 8, 6
2025/2/28, 28, , 
2025/3/3, 42, 31, 24
2025/3/4, 63, 38, 27
2025/3/5, 82, 25, 16
2025/3/6, 59, 24, 20
2025/3/7, 48, 24, 15
2025/3/8, 59, 36, 10
2025/3/9, 82, 25, 13
2025/3/10, 46, 16, 19
2025/3/11, 40, 13, 9
2025/3/12, 33, 6, 5
2025/3/13, 21, 10, 9
2025/3/14, 41, 14, 6
2025/3/15, 52, 13, 5
2025/3/16, 52, 9, 5
2025/3/17, 31, 10, 12
2025/3/18, 29, 13, 12
2025/3/19, 40, 16, 13
2025/3/20, 47, 24, 17
2025/3/21, 60, 22, 12
2025/3/22, 58, 8, 6
2025/3/23, 21, 11, 12
2025/3/24, 30, 16, 11
2025/3/25, 55, 15, 6
2025/3/26, 50, 14, 6
2025/3/27, 44, 21, 9
2025/3/28, 66, 9, 10
2025/3/29, 32, 14, 4
2025/3/30, 48, 4, 5
2025/3/31, 14, 14, 5
2024/10/1, 38, 12, 10
2024/10/2, 43, 8, 7
2024/10/3, 26, 7, 7
2024/10/4, 25, 6, 6
2024/10/5, 22, 8, 4
2024/10/6, 30, 13, 12
2024/10/7, 43, 11, 8
2024/10/8, 25, 5, 8
2024/10/9, 15, 7, 7
2024/10/10, 22, 5, 5
2024/10/11, 14, 9, 8
2024/10/12, 26, 7, 6
2024/10/13, 27, 10, 11
2024/10/14, 22, 11, 10
2024/10/15, 32, 11, 6
2024/10/16, 32, 12, 5
2024/10/17, 39, 16, 6
2024/10/18, 42, , 
2024/10/20, 40, 21, 9
2024/10/21, 55, 32, 15
2024/10/22, 75, 24, 13
2024/10/23, 68, 17, 10
2024/10/24, 50, 27, 7
2024/10/25, 74, 30, 9
2024/10/26, 78, 31, 9
2024/10/27, 79, 21, 15
2024/10/28, 57, 24, 16
2024/10/29, 54, 16, 9
2024/10/30, 45, 18, 11
2024/10/31, 53, 18, 11
2024/11/1, 54, 12, 6
2024/11/2, 42, 13, 13
2024/11/3, 41, 15, 11
2024/11/4, 47, 19, 11
2024/11/5, 57, 32, 18
2024/11/6, 80, 38, 17
2024/11/7, 91, 42, 17
2024/11/8, 102, 47, 22
2024/11/9, 119, 43, 14
2024/11/10, 121, 33, 15
2024/11/11, 89, 24, 10
2024/11/12, 74, 13, 9
2024/11/13, 48, 11, 7
2024/11/14, 43, 11, 10
2024/11/15, 41, 14, 14
2024/11/16, 47, 20, 11
2024/11/17, 66, 4, 7
2024/11/18, 13, 19, 11
2024/11/19, 63, 8, 6
2024/11/20, 31, 5, 6
2024/11/21, 17, 7, 4
2024/11/22, 24, 6, 7
2024/11/23, 18, 11, 10
2024/11/24, 44, 21, 14
2024/11/25, 64, 15, 11
2024/11/26, 52, 27, 21
2024/11/27, 71, 9, 9
2024/11/28, 31, 6, 5
2024/11/29, 21, 12, 9
2024/11/30, 49, 18, 14
2024/12/1, 63, 29, 16
2024/12/2, 80, 19, 18
2024/12/3, 63, 11, 11
2024/12/4, 38, 15, 15
2024/12/5, 50, 9, 8
2024/12/6, 29, 9, 7
2024/12/7, 33, 14, 8
2024/12/8, 54, 15, 9
2024/12/9, 55, 9, 7
2024/12/10, 35, 10, 7
2024/12/11, 40, 14, 8
2024/12/12, 52, 16, 8
2024/12/13, 58, 16, 9
2024/12/14, 58, 6, 4
2024/12/15, 22, 3, 3
2024/12/16, 7, 6, 5
2024/12/17, 18, 22, 18
2024/12/18, 61, 32, 13
2024/12/19, 90, 4, 5
2024/12/20, 13, 7, 10
2024/12/21, 26, 6, 8
2024/12/22, 22, 5, 5
2024/12/23, 15, 5, 2
2024/12/24, 18, 7, 5
2024/12/25, 29, 10, 9
2024/12/26, 39, 13, 13
2024/12/27, 46, 12, 13
2024/12/28, 41, 15, 18
2024/12/29, 52, , 
2024/7/1, 17, 7, 3
2024/7/2, 14, 6, 4
2024/7/3, 15, 7, 3
2024/7/4, 12, 7, 4
2024/7/5, 12, 13, 5
2024/7/6, 21, 4, 3
2024/7/7, 14, 12, 4
2024/7/8, 28, 18, 9
2024/7/9, 42, 24, 7
2024/7/10, 47, 10, 4
2024/7/11, 28, 11, 7
2024/7/12, 34, 5, 5
2024/7/13, 15, 7, 3
2024/7/14, 18, 13, 7
2024/7/15, 27, 11, 5
2024/7/16, 23, 9, 3
2024/7/17, 18, 11, 5
2024/7/18, 19, 15, 6
