date, pm25, pm10, no2
2025/11/2, 52, 4, 9
2025/11/3, 12, 14, 4
2025/11/4, 35, 16, 16
2025/11/5, 46, 18, 9
2025/11/6, 54, 14, 5
2025/11/7, 45, 20, 6
2025/11/8, 64, 11, 8
2025/11/9, 40, 16, 8
2025/11/10, 51, 17, 12
2025/11/11, 51, 18, 12
2025/11/12, 59, , 10
2025/10/2, 40, 14, 8
2025/10/3, 41, 14, 8
2025/10/4, 42, 4, 2
2025/10/5, 10, 4, 4
2025/10/6, 13, 5, 5
2025/10/7, 14, 11, 7
2025/10/8, 34, 8, 6
2025/10/9, 28, 8, 4
2025/10/10, 23, 9, 3
2025/10/11, 29, 9, 4
2025/10/12, 29, 10, 6
2025/10/13, 31, 13, 10
2025/10/14, 39, 10, 7
2025/10/15, 34, 12, 9
2025/10/16, 37, 12, 12
2025/10/17, 36, 8, 7
2025/10/18, 24, 8, 6
2025/10/19, 27, 17, 6
2025/10/20, 38, 27, 7
2025/10/21, 57, 19, 9
2025/10/22, 54, 15, 7
2025/10/23, 36, 3, 3
2025/10/24, 7, 4, 10
2025/10/25, 11, 3, 3
2025/10/26, 8, 3, 5
2025/10/27, 8, 5, 6
2025/10/28, 15, 10, 12
2025/10/29, 25, 11, 11
2025/10/30, 31, 7, 11
2025/10/31, 23, , 9
2025/7/1, 21, 19, 7
2025/7/2, 23, 19, 7
2025/7/3, 27, 13, 4
2025/7/4, 34, 15, 5
2025/7/5, 32, 15, 6
2025/7/6, 32, 7, 5
2025/7/7, 23, 4, 3
2025/7/8, 13, 9, 2
2025/7/9, 20, 7, 3
2025/7/10, 19, 6, 4
2025/7/11, 17, 6, 9
2025/7/12, 19, 9, 7
2025/7/13, 28, 10, 7
2025/7/14, 23, 7, 3
2025/7/15, 19, 11, 4
2025/7/16, 31, 5, 3
2025/7/17, 15, 7, 5
2025/7/18, 22, 9, 4
2025/7/19, 22, 10, 5
2025/7/20, 26, 12, 4
2025/7/21, 26, 6, 3
2025/7/22, 10, 9, 5
2025/7/23, 16, 13, 5
2025/7/24, 23, 10, 4
2025/7/25, 28, 11, 4
2025/7/26, 40, 11, 3
2025/7/27, 35, 8, 3
2025/7/28, 23, 9, 3
2025/7/29, 24, 7, 4
2025/7/30, 19, 8, 4
