date, pm25, pm10, no2, so2
2025/11/2, 49, 3, 8, 
2025/11/3, 8, 9, 1, 
2025/11/4, 25, 13, 9, 
2025/11/5, 42, 16, 6, 
2025/11/6, 54, 12, 5, 
2025/11/7, 43, 18, 5, 
2025/11/8, 59, 9, 8, 
2025/11/9, 36, 10, 4, 
2025/11/10, 38, 10, 6, 
2025/11/11, 34, 17, 5, 
2025/11/12, 55, , 12, 
2025/10/2, 33, 11, 2, 
2025/10/3, 38, 13, 6, 
2025/10/4, 41, 3, 1, 
2025/10/5, 9, 3, 2, 
2025/10/6, 12, 3, 1, 
2025/10/7, 11, 9, 2, 
2025/10/8, 32, 8, 2, 
2025/10/9, 28, 7, 1, 
2025/10/10, 23, 9, 2, 
2025/10/11, 34, 8, 1, 
2025/10/12, 28, 9, 2, 
2025/10/13, 30, 10, 2, 
2025/10/14, 33, 9, 2, 
2025/10/15, 30, 6, 3, 
2025/10/16, 24, 9, 3, 
2025/10/17, 26, 6, 2, 
2025/10/18, 25, 6, 3, 
2025/10/19, 20, 16, 4, 
2025/10/20, 36, 24, 7, 
2025/10/21, 56, 15, 5, 
2025/10/22, 49, 13, 6, 
2025/10/23, 34, 3, 1, 
2025/10/24, 7, 2, 1, 
2025/10/25, 7, 2, 1, 
2025/10/26, 7, 2, 1, 
2025/10/27, 7, 3, 2, 
2025/10/28, 11, 7, 4, 
2025/10/29, 20, 8, 4, 
2025/10/30, 26, 4, 3, 
2025/10/31, 12, , 4, 
2025/7/1, 18, 16, 5, 
2025/7/2, 20, 13, 4, 
2025/7/3, 23, 11, 1, 
2025/7/4, 36, 14, 2, 
2025/7/5, 30, 10, 2, 
2025/7/6, 26, 6, 1, 
2025/7/7, 20, 3, 1, 
2025/7/8, 12, 8, 1, 
2025/7/9, 21, 6, 2, 
2025/7/10, 21, 6, 1, 
2025/7/11, 18, 6, 2, 
2025/7/12, 17, 8, 3, 
2025/7/13, 22, 6, 1, 
2025/7/14, 18, 7, 1, 
2025/7/15, 19, 11, 1, 
2025/7/16, 34, 5, 1, 
2025/7/17, 15, 6, 1, 
2025/7/18, 21, 8, 2, 
2025/7/19, 21, 9, 2, 
2025/7/20, 23, 10, 2, 
2025/7/21, 25, 5, 1, 
2025/7/22, 9, 7, 2, 
2025/7/23, 13, 10, 3, 
2025/7/24, 21, 9, 2, 
2025/7/25, 29, 10, 1, 
2025/7/26, 39, 11, 1, 
2025/7/27, 37, 7, 1, 
2025/7/28, 22, 8, 1, 
2025/7/29, 25, 6, 1, 
2025/7/30, 18, 7, 1, 
2025/7/31, 21, 5, 1, 
2025/8/1, 14, 4, 1, 
2025/8/2, 13, 5, 1, 
2025/8/3, 17, 51, 1, 
2025/8/4, 139, 60, 1, 
2025/8/5, 92, 7, 1, 
2025/8/6, 15, 10, 4, 
2025/8/7, 21, 12, 5, 
2025/8/8, 28, 14, 3, 
2025/8/9, 29, 16, 1, 
2025/8/10, 38, 13, 1, 
2025/8/11, 31, 18, 3, 
2025/8/12, 31, 22, 5, 
2025/8/13, 40, 21, 4, 
2025/8/14, 38, 17, 2, 
2025/8/15, 34, 18, 2, 
2025/8/16, 47, 14, 1, 
2025/8/17, 42, 10, 1, 
2025/8/18, 16, 13, 3, 
2025/8/19, 21, 16, 3, 
2025/8/20, 25, 16, 4, 
2025/8/21, 44, 11, 1, 
2025/8/22, 31, 6, 1, 
2025/8/23, 13, 3, 1, 
2025/8/24, 9, 4, 1, 
2025/8/25, 13, 9, 3, 
2025/8/26, 21, 17, 5, 
